Vol.26 办奥运到底赚不赚钱？
[00:34:13] 办完了之后过了几年之后借了很多钱还处在要还钱的阶段的时候欧债危机啊金融危机都来了结果出现了一个很大的一个问题也就是说不是说你在奥运会上大大的投入了你这个城市就能获得一个长期的一个收入的也不是说你投入了就一定亏损这不是一个简单的等式关于这一点呢我们第一财经旗下的未来意想图旗下的播客现在进行时最近也刚聊了一集关于奥运对于东京作作城市的一个影响大家可以听听看啊
[00:34:42] 你讲的这么委婉这个节目不就是你自己主持的吗对对对这个广告有点过于明显了话说回来到了这里我们就基本上把国际奥委会IOC以及美界的奥组委以及背后的主办城市在奥运上的经济账大致的捋了一下简单的一句话就是IOC是稳占不赔的主办方奥组委小账上面往往是亏的
[00:35:06] 大账上能不能赚呢就看自己造化了这个其实也体现出奥林匹克运动它作为一个商业模式的一些问题就是说IOC之前是觉得自己权力太少了然后经营的太不好了对吧他开始集权把商业的权力都集中在自己手里但这个集权过于厉害之后就有可能会削弱主办城市的一些积极性毕竟不是每个城市都愿意一下子先投个几十亿美元下去然后再畅想一下接下来我们城市可以大发展对吧尤其是在经济不景气的时候愿意来承担这么大
[00:35:35] 对国际奥运会来说不是一个很好事情对吧
[00:36:01] 如果大家的进行性不是很高的话你不可能自己主动的去找一个城市说钱都我来花我来承办是不可能的总是需要一个主办城市的一个巨大的支持的所以说国际奥会现在的一个新的改革方向也是要增加对于各地的奥组委的一个补贴的支持包括对于各个项目的支持就是要尽量的把这个钱再多分出来一点真正的用于所谓的刚才讲的支持全球的奥林匹克运动的发展
[00:36:28] 前面我们有个点好像展开的不够多就是因为你提到说奥运村其实是一个
[00:36:33] 比如说房地产项目对吧房地产项目它是不是就会有一些经营权的变更就是说它还涉及到更复杂的问题就是比如说有些变化了以后会怎么样纽约老师不会是商业地产的一个记者这个问题其实确实是一个怎么说其实蛮重要但是我们在讨论奥林会的经济收入的时候经常被忽略的一个话题就是一些重大的奥运设施或者说是一些比如像奥运村这样的一些大的开发它在完成了十几天的集中的任务之后
[00:37:03] 它其实还是一个要继续维持下去的一个产业说穿了就是一些永久场馆或者一些永久设施的所有者他们在奥运之后这个经济账到底能不能还得回来的一个问题因为这些主场馆或者是一些奥运园区的建设往往是奥运会当中最花钱的部分
[00:37:20] 我要清出一块新的园区出来然后我要给他搞大开发什么的但这些资产的所有者其实是各不相同的就不是说像中国一样就是所有可能都是政府或者你一个广义上的一个政府来承担他很多是比如说是私人来建的没错比如像这次东京奥运会他的奥运村其实就是有一个几个公司组成了一个财团然后他来承建的奥组委其实是一个向你来租的一个身份然后而且因为延期了一年使得这个租金还多付一年这个也是要算在增加的这个运营的成本里面
[00:37:50] 这个我们其实就已经进入到
[00:38:14] 但是因为时间原因这个部分我们今天就不具体展开了我们还是在show notes里边给大家指一些路因为我们过去杂志就是在北京奥运会之后确实也做过一些报道提到了一些相关场馆之后的运营问题包括在赛事当中的一些运营问题大家有兴趣的话也可以去看一下这想象已经是十多年前的问题了非常久远了
[00:38:35] 对但是其实你对于一个永久场馆来说或者一个商业地产的项目来说十多年的运营有可能它是刚刚开始或者刚刚能够成熟下来对吧最后我们总结一下奥运会本身它只是一个十几天的比赛而已比赛本身从商业上面来说它并不会产生出什么产品或者什么利润来
[00:38:54] 但因为我们人类都喜欢体育喜欢运动喜欢看这些挑战人类极限的这样一些活动喜欢看人类运动对使得奥林匹克这个品牌确实是有着极其大的一个价值或者说极其稀缺的一个价值但是任何一个品牌你要把这个品牌的价值要变现或者转变成实实在在的收益其实都是非常难的也没有理所当然的奥运就是这样
[00:39:25] 感谢收听这一期的商业就是这样
