Vol.213 中国的二手车市场为什么很难做大做强？
[00:36:56] 等于让它过度当一个车主这种方式就是变相的把这个价格降下去这个品牌销售压力是有多大以至于连电源都要用上我觉得核心的原因就是因为现在的整个新车的销售尤其是一些新能源车看上去好像他们整个市场规模在扩大但不同的品牌他们受到市场压力实际上是非常大的尤其是一些弱势的品牌它的库存压力也很大它要尽快的解决这个库存问题的话
[00:37:22] 它只能通过降价而如果你通过官方的就是我这个新车价格下降的话它对这个品牌的损伤就非常大了那我只能变着发的用这种有点不是那么上得了台面的方式降价然后赶紧的把这个车卖掉既相对保住了面子然后呢同时又把这个里子给完成我听懂了这个取现救国的方案那所以说这种取现救国的现象在比如现在的那个二手车商做新能源车生意里面大概能占多少比例
[00:37:48] 对因为我们刚才讲它就是过去是有可能是个非常小的一个非常变异的现象那现在确实是有点多了我们看到过很多不同的媒体给出了大致的一个测算我们也自己了解了一下高的呢有可能预估在10%左右也就是这个整个二手车市场里面有10%是这种零公里二手车低的呢也有可能预估它有5%左右那其实这个量乘以我们刚刚讲的全年是1900万辆接近2000万辆的话其实规模已经很大很大了
[00:38:15] 听上去就是一个比过去的二手车生意可能更有意思的一个部分我还听说有个版本就是说零功率二手车的话不仅是内销比较好做其实也可以做一些外销的生意是这样吗对 我觉得这个点非常有意思现在其实有很多的所谓的零功率二手车的目标其实主要是做出海的生意
[00:38:37] 这边想先要补充一下就是刚才我们讲到了这个零公里二手车对于链条上面上上下下的一些好处还有一个环节没有讲到就是我们的二手车商对他们来说也有好处的就是我这个传统的燃油车卖不出去了我得卖新的原车吧那我卖新的原车的话如果我是正经的从消费者那边收其实这个竞争力就非常的有限但是这种零公里的二手车其实对消费者来说是很有很强的吸引力的那有很多的二手车商他其实就会和一些4S店保持一个长期稳定的关系
[00:39:05] 这些二手车商就是那些4S店把零公里二手车倾销出去的第一道接口然后这些车商呢在卖给他们的个人的消费者通过这样的形式就大家都稍微少赚点钱但是能够保证整个销售的规模还能稳定下去所以二手车商也是非常欢迎零公里二手车的
[00:39:21] 那我们回过来说这个出海的问题我们了解到就是其实现在有很多的零公里二手车其实就是出口出去的主要就是去往了比如像中亚甚至包括中东这是两个比较主要的市场这个当中尤其是以中国国产的一些新能源车为主那为什么这些出口的车型要用二手车这种零公里二手车的方式呢也是有多方面的考虑第一个就是税费更低因为出口是完全退税我想到了
[00:39:48] 那些二手车商他们可以在出口的那个地方开增值税发票的然后就办理退税
[00:39:53] 第二个部分就是对于很多那些进口国来说就是那些目的地国进一辆新车过去的话其实它的审查是非常严格的管制是非常严格的但是一些二手车进去呢他们的管理就不是很严第三点就是那你这个车真的进去了之后呢你在当地的一些经销商里面卖那些消费者他又不管你到底是不是真的一手还是二手他就只看你这个里程数开的不多车又非常的新我能开起来是个新车样子就可以了我不管你之前有没有过过手
[00:40:20] 所以说是不是有一种可能是比如说它进到一个国家它是以二手名义进的它有可能在当地国家卖甚至可以以一手的名义来卖接近一手的名义来卖实际操作就是这个样子的我们可以在中亚包括中东看到很多中国比较贵的一些就是比较高档的一些车型都是这样的形式的你会发现他们这些车型它厂商其实没有官方的真的出口到那个市场的一些规划或者那个量非常的少但是意外的在那个市场有的卖呢对
[00:40:48] 其实我们可以理解就是我们国家也会有比较规范的正规的叫做平行进口就是从海外的一些经商商那边直接进口车而不是从厂商那边直接进口车这个是比较规范的现在这个二手车的这个零一公里二手车的出口呢你也可以理解为一种平行的出口只不过呢它并不是一个非常正规的走新车出口的而是走一个擦边球的一个方式来走出去其实会对一些正规的
[00:41:13] 厂商出口的模式或者说是厂商在当地建正式的经销商的这种模式产生一定的冲击因为那些零公里的二手车它的价格肯定是要比那些出口的新车要便宜很多的有可能会产生一些这样的竞争
[00:41:25] 但就像国内的这些销售链条大家都非常的这个隐隐的在支持零公里二手车一样的在海外的话不管是你国内的这个出口的经销商还是当地的那些经销商都会觉得这样会更加有利可图所以说这个过去非常小众的非常边缘的一个模式现在会逐渐的会变成一个规模越来越大的一个二手车的一个销售的形式感觉今天又学习了很多二手车知识尤其是零公里二手车这个部分就仔细分析一下它竟然还有一些
[00:41:52] 道理就它跟上我们前面讲到就是二手车市场近两年遇到挑战其实都是新车市场发生了很大的变化然后传导到二手车市场造成了一些结果只不过一个是造成了一些生存压力一个是就在生存压力之下又找到了或者说大家想办法找到了一个很微妙的生存机会当然我们必须要说这个零功率二手车其实对于一个市场来说并不是一个长期的健康的一个现象
[00:42:19] 它有可能就是现在当下市场竞争激烈情况下的一个暂时现象而且它同时对于消费者来说也还是有很多的这个隐患的但是我必须要说就是在当下对于这些市场当中的流通的这些环节来说可以说是新车为二手车关上了一扇窗但是又打开了一扇偏门吧那如果没有新车市场这两年激烈变化或许这些二手车商以及创业公司们可能他们能在比如说近几年
[00:42:46] 逐渐地把中国的二手车市场的格局稳定下来而且摸索出一些相对比较好的中国的经验但市场就是没有如果的就是新能源的浪潮对于二手车商业模式的颠覆速度其实比他们的VC打钱的速度还要快而且我们要知道这个改变其实才刚刚开始比如说我们今天根本就没有提到新能源车在二手车市场上最大的问题就是这个电池的衰竭时的这个价格的曲线要重新的估值
[00:43:11] 未来二手车市场必然是一个和电池回收
[00:43:41] 上一句是这样
