Vol.118 英伟达如何变得“不可替代”？
[00:35:20] 现在大科技公司都是提前去付款去锁单的包括中国的字节跳动啊包括美国的微软啊都是这样的存货方面呢之前消费级GPU积压的库存也被消化差不多了那我们可以到时候看看这个就是Jeff的判断怎么样啊就如果提前锁单的话他其实就是应收账款的周转天数就是零的吧在这个产品上面对不对对的当然还是再说一遍这个不构成任何投资建议啊
[00:35:44] 那解释完了这一次的这个财报以及与其相关的这个股价大涨之后呢我们还是来看一些就是今后的比较长期的一些问题尤其是英伟达接下来还是会面临一些挑战就是我们前面讲了那么多他这个稳固的这样一个不可撼动的这个中心地位其实也并不是那么一定永续的
[00:36:04] 首先一个就是所谓性能上优势能不能继续保持我们之前也提过不管是它的生态也好AI的风口也好因为现在的护城河它的基础还是它自己的产品性能始终是领先的但是领先不是说所谓一成不变的领先
[00:36:20] 那在芯片里永远是不进则退英特尔其实是一个最好的例子GPU虽然还有很多的潜力可以挖掘但是相比于早期黄仁勋定下来那个六个月性能翻一倍这个事情那他现在这个黄氏定律已经又修正过来变成了一年翻一倍因为大家做的呢首先就是要保证这个领域始终只有自己能够跑在前面所以他今后对于研发投入应该还不是会少的
[00:36:44] 第二个就是来自产业的挑战这个其实就是我们刚才买了个伏笔的就是溢价能力的长期的结构性的问题英伟达之所以在目前还没有在溢价能力上体现出与之地位匹配的能力一个原因就是因为它的上下游也很强势它芯片的制造商的同门就是我们前面提到的台积电同样也是一个无可取代的基础设施一般的公司
[00:37:12] 虽然三星其实也能够代工英伟达的部分产品啊但是随着近几年来台积电在这个生产供应上面的这个领先英伟达的高端的产品线目前只能够交付给台积电来生产而在下游呢其实我们节目开头提到过一个点就是那些市值万亿以上的硅谷巨头都是英伟达的大客户这点当然很厉害啊但是反过来看的话也是有风险的
[00:37:34] 因为如果说有谁既有实力又有意愿去打破英伟达在AI芯片方面的垄断的话那就是他这些大客户这些鬼武的巨头了而且事实上啊像Google啊亚马逊都已经或者正在设计自己的这个专用的AI芯片虽然他们的技术路线和通用的这个GPU不太一样会更定制的这样一个路线但是在可预见的未来对于这些公司自己本身来说英伟达的芯片肯定不会是他们唯一的一个选项那这个其实也是比较符合市场的规律的嘛
[00:38:02] 其实第三个挑战就是地缘政治因为美国正在不断限制对于中国的芯片出口其中就包括目前英伟达的拳头产品A100和H100的这两个AI芯片虽然英伟达用一个降低了部分性能的版本绕开了这个出口限制可以短时间内继续向中国客户供货但是我们可以看到现在趋势下这个风险还是越来越大的对的我们最近也看到这个华尔街日报又爆料了
[00:38:28] 说美国正在考虑进一步加强对AI芯片出口的限制之前就是降低性能的版本就是供给中国公司的A800和H800芯片
[00:38:57] 我们为什么一直在强调就是说中国市场在这个里面的重要性因为根据中国信息通信研究院是我们自己的一个机构的统计截至2021年中国的计算设备算力是占全球的三分之一人工智能算力是占全球的45%英伟达这个CFO还说目前中国市场占据英伟达数据中心业务有20%到25%的一个份额这其实是很大的一个比例了当然随着AI的爆发这个比例可能还会有一些变化
[00:39:26] 但是中国客户对英伟达肯定是很重要的这点不用怀疑不明朗的情况始终是一个风险没错如果各国真的都把AI的算力当作是新时代的石油的话那这个行业就不是英伟达自己能够完全把握的了毕竟能源和政治紧密相关芯片也是商业就是这样
[00:39:51] 感谢收听这一期的商业就是这样
