Vol.124 北京见面会：商业也可以这样
[00:42:48] 就是广告形式上也许就那种比如说你从我这里比如说听了协聊然后到哪里去买东西可以打个折这种它也许能track到它的量但那个ROI很低对对都很小跟短视频不能比的那我延伸问一下就它会不会对比如说大额和低频的这种消费的产品品类的品牌更适合一些大额低频难道是汽车吗或者买车买发我们在节目里面发一张马沙拉第五元带金券大家会有兴趣吗
[00:43:18] 或者是比如家居品牌这种因为相对来说家居品牌更多更小众一点这种肯定是有价值但是有可能很难测算单期节目即使是一个小时你要撬动购买吗撬动行为我觉得难度比较高所以现在和品牌做合作的播客就是品牌对播客的传播效果也没有太有严格的
[00:43:41] 它没有效果的要求但它肯定有传播的要求就是品牌传播它也有品牌传播的要求但它数字不会要求你带货的那个 ROI它有可能就是一些就是传播度 播放量视长 播放量对 评论下面的互动量看看这些东西就是过去那种品牌广告会要求的那些数字好 谢谢
[00:44:02] 几位老师好我是来自小宇宙的听众我现在在互联网代厂上班但是在商业层面也算是一个小白吧然后是之前林纳贝尔那一期上的钩后来就听的比较多我比较感兴趣的问题是
[00:44:19] 为什么会选择在这样的现在这个时间点选择办一场线下的一个见面会有没有什么有没有什么你们想从这个见面会里面你们想要获得的东西非常好的问题是因为什么呢因为这个我私的这个
[00:44:44] 叫什么BD部门给我们下了一个KPI让我们要做这事然后为什么选到这个时候就这时候刚好我们几个人都有空正好这个场地也book这个时间当然最大的动因还是我们觉得做这样的事情有意义嘛最大的动因不是因为我们上次已经promised会有其他场吗
[00:45:10] 几位老师好我其实主要想问一下大家现在在做这期节目我理解它的一个起源有可能是大家的一个兴趣大家在做了这么长时间之后的其他的满足感来自哪里我之所以这样问是因为我很喜欢这个节目然后我对这个节目就是
[00:45:32] 从我一开始就基于这个节目了解了第一财经然后购买了第一财经的会员然后现在我上下班通勤看的那些文章基本都是第一财经杂志的所以我特别希望这个能够做得更长久
[00:45:50] 虽然这个项目算是公司项目但是因为题目都是我们自己定的所以基本上是属于它可以等价于我们自己的好奇心的范围如果我们自己还对这类话题一直感兴趣的话它其实一直可以做下去
[00:46:07] 我觉得主要是内趋力吧内部的非常同意老师讲的然后外部的话就是就是各位听友给我们的正向反馈肯定是非常重要表扬总是开心的然后就是比如说一期节目的收听的量多和少并不会影响我们对这期节目的内容怎样的判断我们的判断是根据我们自己来的但是就是正向的反馈非常多的话其实
[00:46:36] 对我们是有个加分的这个我不敢说就是说我觉得大多数情况下每做一期的时候定一个选题肯定像月老师说的是内区的这个动力来确定的但是如果大家完全没有反应一期就比如说只有几十个人听或者几个人听的话那我觉得我肯定也坚持不到现在对这个也是就是应该也有一种责任感在了吧对吧有吗有
[00:47:02] 我之前是属于那种默默的这种听众如果老师们就是情绪价值比较重要我会愿意去非常谢谢但是就是不用勉强不是不是勉强不是勉强对我觉得这个是我希望这个节目能做的长久我能够提供的一些东西谢谢
[00:47:25] 各位老师好然后我是个大厂的程序员然后我其实主要就是在摸鱼的时候听咱们的节目谢谢然后我的问题是因为现在其实另外一种播客就是偏闲聊的方式其实也非常火了然后我想知道就是各位老师未来会考虑这样的那个播客的形式吗就是信息密度更低但是时长更长因为我其实挺喜欢听二位老师讲我正想说刚刚今天这场已经证明了我们做不了那种节目
[00:47:52] 一開始策劃這個節目是什麼形式的時候肯定就想過閒聊的因為從那個時候到現在一直都是比較常見的播客形式但最終我們三個人都覺得不OK是吧後來覺得還是要用主子稿比較正經的做節目因為是最後一個問題我可能就問一個偏總結性的就是我想問一下
[00:48:16] 我想问一下三位老师对于上海就是这样这个节目本身你们对这个节目的肖像是什么样的或者你希望给这个节目的label是什么样的让我们想一下啊要么从领导开始吧这样让我们可以再想一会儿我觉得还我尤其是特别希望这个节目是能够用一种不同的形式就是区别于我们以前的这个稿件的文字的形式
[00:48:52] 但是传达的是同样的价值就是能够让听友在这30分钟过完之后多多少少有一些收获这个收获是我希望是建设性的吧我觉得如果是一句话描述的话其实在我们的这个slogan里面写的就是用简单易懂的语言解读上限现象这是我们对他的这个你把我也说了
[00:49:16] 但是我可以補充一個跟這個不是完全相關的一個點就是我自己的想法這個不代表我們節目的就是我覺得這還不是一個就是完全態的節目或者說是就是和我們和我理想當中最好的那類節目有可能是還是有差距的它可以更加更加好一些
[00:49:38] 确实是有差距但是这个差距主要是在我们自己身上如果一定要再加个的话就是说其实刚刚提到过我们是希望他永远都还是有信息或逻辑增量的没了就这样吧
[00:50:03] 感谢收听这一期的
