Vol.40 串台【井户端会议】：音乐剧为什么在上海爆发？
[00:38:03] 因为你同样看小哥哥这里不但有小哥哥还能欣赏到艺术歌曲对小哥哥至少是有文化素养的小哥哥这个话是岳老师说的就是你会觉得说音乐剧跟话剧虽然他们之间重合度有点高但是也并不是完全一样现在音乐剧更年轻女性的比例更高京剧场的比例是更高的话剧可能没有那么差异那么大
[00:38:29] 像Live和脱口秀基本上是另一种Live是另一种比如说因为现在疫情之后上海这边我们只能说上海不批大型像梅奔已经基本上你很少有大型的Live演出来今年好像就有一个重塑重塑雕像的权利我还去看了那个是万人蹦迪现场除了那个之外今年好像就没有什么大型活动在那边但是现在好像很多都去苏州那边
[00:38:56] 苏州奥提啊什么的那个外地啊什么的上海现在基本不批就是现在如果即便是有音乐现场的话都是那个live house这个圈层的人跟音乐剧话剧是不一样的我不能说完全没有重合的会有点重合但是他们的人可能更偏朝圈啊或者说那个音乐圈啊或者说摇滚圈啊什么这些人而且音乐说老实话音乐跟音乐剧其实是两个市场两个市场然后脱口秀又不一样了脱口秀可能就是
[00:39:26] 你知道上海现在也有开心麻花剧场对那天听一个哥们跟我说他说上海脱口秀的兴起其实冲击到了最大的是开心麻花因为他们是同一个价位然后同一个需求因为他们的观众是一批人因为看开心麻花的人跟看话剧音乐剧的人其实跟你意象就不一样虽然开心麻花也叫话剧
[00:39:49] 但是它更像那种搞笑的更像搞笑的你去花钱买个乐子的那种我要快乐对我要开心而且它有很强的社交性你比如说男生要追女生吃个饭之后除了看个电影今天我们看个开心满怀的喜剧笑一笑因为它有品牌效应
[00:40:06] 对我们就比如说我有那个那个听友群嘛我们那个我那个听友群就是魔都具好看的听友群这里边很少有人会聊到开心麻花的戏的但是脱口秀的观众跟他们其实跟开心麻花是有点像的你可以把它理解为更偏那个搞笑娱乐的一块的一些观众因为效果文化的崛起嘛就是上海现在厂牌很多嘛就是效果文化当然是第一集团了下面你比如说有很多嘛
[00:40:33] 比如猫头鹰喜剧联合国甚至再往下都有很多厂牌而且据我所知是大家活的都不错都不错这就是上海现在为什么成为喜剧的单口喜剧或者说叫脱口秀的全国中心的一个道理就是就有一批年轻人就喜欢看这个东西然后我抢不到效果还买不到你喜剧联合国吗当然Storm不要说我他们的票也很难买对他们的票现在也越来越难买而且他马上要出新的专场了对他的专场也是很快就卖光的那种程度就是
[00:41:01] 他的客群可能就更不一样就是在我眼里的话话剧音乐剧是一个市场Livehouse是一个市场然后脱口秀跟开心麻花可能是一个市场要这样分然后如果从疫情的影响来说的话你现在上海人们除了大型的live演唱会有可能现在上海是那个比较少的其他的几个的话都吃到了刚才樊叔说的一个所谓的疫情的一个红利
[00:41:27] 这个的话其实刚才基本上是科普了一下现状我们要稍微再往上问一问就是前面比如说讲到了一个音乐剧的一个良好运转的一个盈利的模型对吧自己先演了一轮之后然后有了好的口碑能够去全国巡演那如何让他能够这个当中这个是个玄学这个是个玄学但是因为我个人就是又牵涉到
[00:41:54] 我个人因为我平时看也多了这两年因为的确也对这个市场关注之后的确我对文娱的东西是打内心是感兴趣的我个人就是说还是会觉得说一个项目要做得好的话原来可能是前两年就是比如说要圈演员可能会比较重要但是现在越来越市场越来越好然后开始分化开始开始分层今年我们刚才不是说15部中文原创出来吗
[00:42:24] 你会觉得说今年好戏好多好的戏有好多然后有些戏可能放在前两年是当年的天花板但是放到今年可能就没有最好就会有这种现象而且是不是好的方面是很多元的不是说原来的很单向度的大家去讨论好就是这个方向的如果你打分的话就是说原来可能比如说在疫情前或者说生人心之前出一个原创就不容易了然后给大家打分了
[00:42:52] 多打一点鼓励鼓励鼓励鼓励原创什么的现在像这些戏如果放到今年再出来的话它就是吊车尾它都有可能那这个品质和就是反馈到票房上面显著吗显著的确现在是越来越火越来越火你像前两天我去看了一个原创的一个新的戏叫南唐后主江
[00:43:14] 李厚竹李玉嘛他是在别克中剧场上海大剧院别克中剧场500多个位子大概首轮卖11场嘛受庆啊他没有任何的没有任何的别的资源
[00:43:27] 像我路人我其实没有听说过你没听说过的但是他在那个圈层就已经卖光了对吧然后有个前提就是他进入一个正向循环了就是你市场越来越好之后越来越多的钱会相信音乐剧投入进来越来越多人才会进来所谓人才原来可能是眼里没有音乐剧我只做话剧我只做什么的然后一些导演编导演员或者好的一些各种各样的人才的资源他会进入到一个项目里面来
[00:43:56] 然后把这个项目就越弄越好这回到你的这个问题上面去我现在越来越觉得说未来中国音乐剧最核心的一个问题还是IP本身要好就是你的本子你的主创团队要过硬出来的东西是要好然后这样才能这个剧才会好音乐剧的这个本子感觉好像还比话剧要更复杂一层除了那个故事以外还有歌
[00:44:20] 歌是非常重要对除了歌之外而且中国人的欣赏习惯还有作词我今年特别喜欢沉默的真相就是因为沉默真相里面那个作词让我非常舒服词做得好他说你刚刚说到是对中国观众来说这个更加重要因为中国人听歌有看歌词的习惯的对不是只听调的对而且还有一个就是我们经常有一种文以再道的那种感觉如果你这个故事讲的如果是那种非常
[00:44:48] 对我来说如果你是一个故事讲的是一个虚无缥缈的一个故事非常个人表达的一个东西可能很难卖在中国但是你要把它落实一点就好对对对我就那天看《沉默的真相》这个戏的时候我就想到一个什么事就是几年前有个电影叫《我不是药神》你记得吗《我不是药神》如果你从电影艺术上来讲它没有那么了不起
[00:45:10] 但是他为什么那么成功或者说口碑那么好你会觉得说他带着中国人的社会的
[00:45:34] 完全一致汉化汉化之后对你这个剧演了也就演了然后我看了也可能也很感动但是它不会出圈因为它影响不到核心剧迷之外的那批人但是你想《沉默真相》《隐秘的角落》这些剧它是一个首先它是社会派它是个博明IP然后社会派你这个说的对了我觉得未来中国原创会走社会派戏剧就会来越来越多的那种跟社会紧密相连的一些剧目会让一些
[00:46:02] 出品公司选择去做他们来改编音乐剧好像是说这个更能得到共鸣共鸣很重要这个我感觉还是蛮重要的就是有可能会有很多我们会看到越来越多的一些熟悉的电视剧甚至电影的名字出现在剧场里边你知道那个12月马上要演了那个人间诗阁太宰治的那个小说改编的当然它是一个完全的中国团队把它改编出来的一个音乐剧
[00:46:29] 白举刚就在里面他们也下场来演了对吧然后这个是一个还有一个就比如说前两天我刚上线的那期魔杜局好看就采访沉默的真相那个作词编剧他原来是影视编剧他是喜欢做影视编剧的然后被拉过来做那个就是说沉默真相之后
[00:46:47] 他感受到一些爽感因为做影视编剧爽感跟戏剧是没法比的我个人觉得说尤其他这次写了一首歌非常好那个歌在剧迷圈子就炸了你知道吧然后对他的正向反馈会非常大你想他如果写一个都市情景剧都市婆妈剧在平台上播了谁会记住他谁会讨论他呢但是戏剧这个东西尤其这个题材又是社会派的硬核的一些故事的话
[00:47:15] 他的那种爽感会不一样就是因为这个市场又越来越好了之后会吸引这些原来可能不是这个圈层的人才会下场一起来把这个东西越弄越好然后他在这里会很快获得正反馈然后就会更加好对这个人才这个点我感觉非常重要就是有点类似于播客的情况是吧就是你有很多梁文道都下来了对就是与这个行当过去不是这个行当但是其实与这个相关
[00:47:39] 你的才能你的技术完全可以直接应用过来的这个人才这个基础在然后你才可以很快的能够供给出这么多的产品给现在这个比较大的这个社会对而且上海真的有一个优势就是上海官方还是比较支持线下演出行业的你像那个19年他们推了所谓叫演艺新空间的政策嘛演艺新空间的政策你知道是什么意思我不知道就原来可能是办公室啊或者是厂房啊或者什么样让你改造
[00:48:06] 当然符合什么消防啊各种各样的标准之后我发你一个牌照你可以卖票做演出这个是上海一个线下的空间能够拓展一个新的用途其实在中国是一个非常上海市真的是走在前面的最典型的例子啊我相信这期节目就是如果有戏剧圈的人听到现在都急死了我怎么还没说那四个关键词就马上就要说了就演艺新空间就牵扯到一个上海现在有一个关键词叫亚洲大厦
[00:48:32] 主江路汉口路那边就有一幢楼就是人民大舞台背后那个楼原来是亚洲大厦原来是一个office疫情之后他们做了一个尝试就是把里边office的空间都清空然后做小剧场然后做了一个去年的8月28号一个叫阿波罗尼亚的一个音乐剧现在俗称叫小酒馆我上次跟我朋友说我说深入人心第一季跟阿波罗尼亚肯定会成为中国音乐剧的里程碑式的名词
[00:49:01] 就是那个音乐剧阿波罗尼亚去年大获成功之后你知道现在亚洲大厦据说有十个剧场出来了一撞楼就一撞楼都快被挖空了他现在就十个剧场然后都是小剧场沉浸式的然后我上次十一国庆期间去看了一场戏那个盛况就是因为人民大舞台本身是一个千人剧场他背后那座亚洲大厦又是十个小剧场那天是同时开
[00:49:26] 那个地方就踢死了散场的时候我觉得黄浦去民警都疯了这些路都很窄对啊马路上都是人
[00:49:33] 马路上都是人那个盛况真的是盛况亚洲大厦的那种成功背后体现的是上海市政府对于演艺新空间这种政策或者说线下亚洲演艺之都这个政策它真的是在推动的这个其实我觉得现在得到正向反馈了据我所知音乐剧人才现在大量的在往上海拢有一些可能甚至到什么程度中系的小朋友他中系音乐剧班的一到五在学校上课
[00:50:00] 星期五晚上到上海来周六周天演三场戏再回去他还没毕业你想想看他还没毕业他为什么要这么干就是说他还没出学校都已经有舞台实践经验都有原生粉丝了
[00:50:12] 他未来干什么他未来可能没有最后留在舞台上他去干点别的但对他真的是一个非常好的一个正向的一个训练现在上海就成为这样了然后据我所知大世界也要亚洲大厦化了要开始大量的小剧场对大世界是很好的例子现在人民广场附近就是上海的百老汇或者说韩国的首尔大学路这句话可以直接放在标题里
[00:50:38] 但是这个的话就是虽然感觉刚才我们讲了很多上海的但其实有一个根本的道理就是因为像线下的演出行业本身它就是一个公共的文化视野它像一个基础设施一样你必须是需要有一些政府的支持在中国有可能是一个补贴有可能是一些
[00:50:54] 政策的比较宽松或者一些扶持它对这个行业的影响就是是很大的一方面它是一个比较充分市场竞争对吧大家去看谁好看大家去看另一方面这个支持是我们说的商业一点的话对于你整个行业的这个收入这个模型会有帮助对吧对于你去启动一个事情的这个门槛也会降低很多对尤其是你越大的项目其实有的时候政府帮一把会好很多对它这个杠杆的作用会很明显比如可能你像刚才房秀讲的你补贴的并不是那么多
[00:51:22] 但是有可能就是个小杠杆演艺大世界这个政策真的是补贴票政策真的是非常重要的一个东西
[00:51:33] 刚才其实已经讲多次提到一个就是消费群体的一个变化扩展然后讲到火的话这根本是因为看的人多了这个凡数你能不能给我们一个大概的概念就比如说像上海的音乐剧或者话剧观看的核心人群到底是怎样的规模圈内有个笑话叫上海看戏20万人这是哪一页的笑话行业的一个说法
[00:51:56] 但是有一个情况蛮有意思的就是那天我跟别的同行也在聊这个话题就是上海文青跟北京文青不一样的地方就是上海我把它称为叫泛文青你知道就是这20万人可能好的电影也去看好的剧也看好的展台也去理解意思了然后它是只要是泛文化类的event做的好的出圈的都有它的身影但北京是那种电影圈的就看电影
[00:52:25] 戏剧圈的就看戏剧相声圈的看相声看京戏的看京戏他们不像上海那么泛文青化你虽说有些人会觉得说上海的那些文青都是假文青都朋友圈文青但是话说回来这个给市场非常大的好处
[00:52:41] 晒票这个东西很重要你在上海看戏经常看到大家一坐下来第一件事情先拍那个门票先拍然后敞开捏着然后把舞台照进去这个动作然后他发朋友圈这个动作其实有这么一个东西的分享其实对于整个售票是有很好的一个东西对吧然后回到那个你刚刚说的具体的人数我觉得上海本身那个人数
[00:53:06] 变化没有说那么大因为你城市本来规模就没有变化那么大它里边有一个什么呢就是现在文艺产品文化产品其实都很想打通的
[00:53:16] 我经常跟他们戏剧圈的人说我说你们争夺的对象不是别的戏剧的作品你们要跟游戏争夺人你们要跟夜店争夺人你们要跟那个电音那个DJ什么那种那个低听争夺人你们要跟剧本杀争夺人还有跟酒吧争夺人跟酒吧和剧本杀争夺人对电影啊什么的就是你都要争夺大家争夺的都是周末或者说是时间和钱
[00:53:44] 争夺时间和钱因为现在的人尤其像上海我们都生活在上海就知道上海的很多年轻人都市人群他没有说他只喜欢一种东西而不是的他是什么好玩或者什么流行对我要把周末两天时间填满对填满什么好玩我去什么所以说对他来说他没有芥蒂的就是说我只看什么只看什么可能是我看这个东西比较多一点什么的所以说对于戏剧圈来说他们尤其像音乐剧什么他的那个品类竞争要跟很多东西同时竞争这个很重要然后
[00:54:11] 一旦这个东西你一旦出圈或者说你做的好的话你甚至可以把游戏圈的人拉过来甚至把那个原来陪评是泡吧的一些人他觉得说或者玩剧本杀的人拉过来这样的话你的那个20万那个人群其实是就是可以扩大嘛这是一点还有一点就是现在随着高铁的发达为什么上海要做亚洲演艺之都
[00:54:33] 其实这里边还有一个就是前段时间上海市领导有提出说上海现在要让外地的游客为了一出戏跑到上海来旅游一次已经有了这样官方的说法了对因为所以说他让永不消失电波驻场在美其因为永不消失电波是上海现在有全国影响力的剧目之一对然后又是一个红色题材比较伟光正一点对然后他的目的就是说让别人就是外地的游客
[00:54:58] 或者说外地的人就像你去迪斯尼乐园一样迪斯尼乐园不都是不一定都是上海本地的游客很多是外地的他们的想法是说让戏剧成为一个目的地现在的确在成为这个东西我知道像尤其像什么亚洲大厦尤其是这样你去看周末
[00:55:15] 很多妹子拉着那个行李箱来看戏的这一看就是说在上海就是要待几天的外地的一些那个游客嘛现在这个如果一旦算上去的话你的那个原来那个圈层20万就不止了就因为20万就是上海的20万那你剩下的压力就是很大南京苏州杭州宁波这些城市我们光说长三角就很长三角地方到上海来看戏非常简单非常方便
[00:55:39] 所以为什么上次有一个官宣说红桥那边要造一个剧场你想他如果造在红桥更方便了就高铁下来直接看看完就吃个饭就可以回家了对吧这个未来我觉得这个市场会变的
[00:55:53] 这个跟国家交通的建设又联系在一起了如果原来没有高铁的话我觉得不可能实现的等于是我要看个戏还花一个大整个周末的时间我现在可能花个大半天尤其像长三角的那些观众像苏州的观众到上海来看戏很频繁的这个点确实是之前没有想到而且还能牵扯到整个国家战略长三角是个国家战略
[00:56:20] 我这边还有最后一个话题想要请教小凡叔的其实我们现在讲的一切都是很向上的是处于一个在进展当中的在进步当中的一个过程你会觉得这是一个现象吗还是说会持续下去比如说如果过了几年过了一段时间今晚的演出都放开了重新回过来了对于本土的这些出品方生产方来说会不会有一个格局的重新的变化我觉得线下热是一个趋势
[00:56:49] 上海的线下热是一个趋势因为我觉得随着人现在闲暇的时间以后会越来越多对 闲暇的时间会越来越多你像现在
[00:56:59] 日本都开始在讨论是不是要什么工作四天休息三天这种事情了因为以后你比如说像机器人AI互联网这种人越来越多这的确人会被很多东西替代掉的你会有闲暇时间这是一个长期趋势了所以说上海转型做亚洲演艺制度发展文创线下的文娱的那个行业这个长期趋势我觉得存在在家官方的确会支持这么做这个趋势是我觉得是除非出现类似像那个新冠疫情这种突发性的那种事情的话这个另说长期趋势我是这个
[00:57:28] 唯一可能变化就像你刚刚说的老外如果进来了以后国内怎么办这个是从内容生产者的角度有可能竞争会更加激烈一些这个我觉得一点首先之前我听到有种说法说可能恢复到疫情前完全就是说海外团体进来的话可能到2024年了
[00:57:48] 圈内都这么看但不管他几几年进来吧就是以后恢复开放总归是会恢复的嘛但我一般会跟戏剧圈的人怎么说呢就是说我觉得大家不用觉得狼要来了
[00:58:02] 因为首先第一点你看电影就知道了就是说一旦一个消费品它涉及到文化层面
[00:58:31] 他不懂内地人的那种情节上的一些点我觉得像那种什么南唐后煮沉默的真相这种东西你让一个外国导演导不出来的
[00:58:43] 他不知道这里边中国人的文化的那种内涵和那种共振的点在哪里而且他们现在有两年的窗口时期窗口期2020年开始到哪怕说明年恢复这段时间其实是在给他们自己在做很多内功的修炼也好做准备什么的我相信即便放开了
[00:59:03] 这个趋势是不会改变了就是说现在国内很多人才资本或者说包括市场包括观众大家都开始把原创音乐剧中文原创音乐剧当回事当回事这个事情很重要开始当回事而且大家开始相信了相信是很重要的资本不相信的话没有钱进来人才不相信的话没有人过来观众不相信的话没人买票反正我就觉得相信这个东西很重要相信完他就是一直相信
[00:59:29] 他有真相反馈就好他看了真的感受到的东西的话他下次还会选择那个东西原来大家谁都不相信的时候传出来的东西都是很烂的现在就是真的会有这种东西所以说可以说疫情是给了一个机会然后我看到他们现在有一批人在试图紧紧抓住这么一次机会商业就是这样
[00:59:54] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
