Vol.101 国产动画电影，一直在“崛起”
[00:36:00] 这个就是第一个关键词就是这个盈利的渠道商业的模式第二个关键词呢就是人才我们刚才画了很多的篇幅讲的是中期制作的工业化流程如何来改善其实这个流程的改善只是一部分最核心的话就是你要有足够多的专业的人才来支撑这个流程
[00:36:20] 但是目前的问题就是这些专业的人才啊做动画的特效的这些人才
[00:36:49] 在原辅导这个就是怎么说呢就是融资拿到最多的时候他们其实是大量的招聘动画师要做的目的就是要黏住那些他们觉得最核心的一些用户嘛不光要赚你这个培训的钱我还要赚你这个看动画片的钱对就是那些针对小朋友那些动画片就是你们是知道的就是非常非常的厉害就是你有了一个小猪配棋你就是有了一个摇钱树那问题就是游戏和教培这两个行业他们的整体收入都比动画电影的工作室要高很多
[00:37:19] 比如说一个国内动画专业的毕业生你有可能在几个大厂游戏大厂里面你一年马上就可以拿到二三十万但是你进入一个工作室的话可能只有月薪七八千有的时候还不是很稳定的那这个差距实在是太明显了吧是的你像叶宇辰就告诉我一个事情让我觉得还是印象蛮深的就这次十月文化它做深海最后留下来的中间的力量
[00:37:42] 他里面会说就是他那个团队从做大生的时候到现在的规模从几十人变成了一百多人但是他留下来的中间的力量很多还是大生做完了之后留下来的在这个过程当中这几年进进出出有很多的新人加入了但是最后都走了所以说你有经验的专业人员其实没有办法继续沉淀在这个行业里面那自然就很难以一个很高的频率来出产好的作品你想想实验文化已经是这个行业里面头牌了
[00:38:10] 没法好好的就是稳定的产出好作品的话你也难以吸引更多的投资那你没有更多投资的话也难以提高待遇那就难以留下人才等于是这个所谓你想象的一个增长的飞轮完全没有办法转起来反而是掉进一个负向的循环里是的就像我们之前和很多动画的导演这个交流他们都会说到人才是最大的一个问题而且目前的其实没有很好的解决的一个办法
[00:38:35] 其实据我们了解大多数的专门做动画特效的工作室他们都不是只靠做动画电影来养活的你是做那些深海的乙方的乙方什么的也是不够的他们要接很多的工作比如说做真人电影的特效你像这次的流浪地球2虽然是个真人电影但它其实里面特效镜头比一部动画电影还要多或者你要去做一些广告片或者做一些那种
[00:38:57] 电影公司的开篇的那种就是这个那个贴片的那个介绍就是那种什么20世纪福克斯那种类型的东西对吧他们也要去做的要做很多这样的一些非这个动画核心的一些业务他们才能够养活这个团队但是这个收入还是不及游戏大厂这个就像我之前看过一个日本电影叫编周记嘛他这个团队主要是一个编词典的团队对这个词典的团队有一度是想就是集团想把他们解散掉就是不要这个业务了因为太不赚钱了
[00:39:25] 最后他们想了一个办法就是所有带词典两个字的业务他们都结就是其实跟他们没有什么关系什么时尚词典美妆词典怪兽词典反正有词典的这个项目他们都结就是为了保住他们自己这个团队吧我觉得跟刚刚夏老师讲的这些外包公司的生存状态非常像对就是尽量的做一些别的钱然后来为爱发点对的其实我们前面提到很多动画电影的商业优势比如说用户粘性非常高众生度很高
[00:39:51] 然后续级的话它成本也可以压的很低包括你如果能做更多衍生的周边其实这个声音有可能也会很好等等等等
[00:39:59] 但是我觉得动画这个内容形式还是有一个核心价值就是它能够最大程度承载着人类的想象力它能够创造很多真人电影实现不了的体验而这种创造的成就感其实才是吸引人能够留下来的根本对而我们今天讨论的产业化它的价值是能够积累足够肥沃的土壤让好的创作可以活下去商业就是这样
[00:40:29] 感谢收听这一期的
