Vol.109 当今最重要的基础设施，在海底
[00:34:54] 所以你可以想象为什么现在可以手机或者是电脑上面看这种高清的4K除了4G 5G以外海揽的不定的提升也是非常重要的一个点说到视频崛起对于海揽产业的增长的推动的话我们还能看到一个小的点因为在2000年初互联网泡沫的时候
[00:35:15] 电信公司已经大规模的在铺这些光纤了结果当时就因为没有那么多需求就形成了所谓的光纤泡沫那投资的这些基建相当于都打水漂了就形成了很多所谓的暗光纤就是没有用掉的一些带宽那Google其实崛起的时候它是顺便把这些带宽就以低价买下来了这就成为它前期节约成本很重要的一步
[00:35:37] 我们就看到很多文章直接评论说YouTube这个商业模式早期最大的优势就在于它在带宽设施上的积累就让它几乎在早期起步的时候是没有所谓的带宽成本的带宽成本这个点呢其实就非常重要就讲的我们刚才讲的这个这些大公司自建还来的第二个原因就是省钱因为对于视频网站来说啊这个带宽的成本或者它的费用往往是它最大的支出之一你像国内的这个B站啊或者快手爱奇艺他们都发过财报的嘛里面都有些披露的
[00:36:05] 他们带宽和服务器的租用的成本要占他总收入的7%到10%其实非常大一块奈飞好像没有特别公布过这个数字但是我相信好像这部分应该也很高不然他不会花这么大的力气去搞所谓的技术研发尽可能去降低带宽成本同时还要保持画质没错这个背后有个潜在的逻辑是什么呢就是这些网站他占了这么多带宽他其实有很大的潜在的付费的压力
[00:36:32] 我们看到已经有些新闻了就是一些大的电信公司他就要求这些大网站他要付额外的流量费给这些公司因为他们占了太多的基础设施了
[00:36:41] 我记得早年国内有一些电信运营商对于微信也说过类似的话尤其是在微信上这个语音和视频这个功能以后不过说实话这个是不是有点重复收费了毕竟消费者已经确实为这些流量付过钱了同意的当然电信公司也有的说比如你这高度集中的流量其实带来了很大的运维成本的这些增加等等的但总之这是一些网站的一个风险为了避免这个风险的话自建寒蓝肯定就是一个选择了
[00:37:10] 总结一下这期节目我们是从历史出发然后介绍人类铺设跨洋海岚的跌宕起伏的历史然后也分析了背后的一些商业模式然后我们把视角放回现在然后介绍在这个时代海底光缆产业的一些新的变动总而言之这就是一个信息不断加速人类社会关系更加密切的一个过程没错整个回望这100多年人类在海底铺电缆和光缆的历史就让我重新回想到菲尔德他最早的状态
[00:37:40] 其实在他整个故事里边最让我感慨的除了他个人的这个光辉事迹以外还有当时的那个社会氛围就是所有人啊都为这种技术带来的世界融合而感到兴奋不同的公司不同的政府都愿意为此来出力而且能够共享收益可以说海揽从一开始它就是一个用来分享的一个产品一个服务而在当下呢如果你去搜索海底光浪的新闻的话
[00:38:06] 很容易发现它跟风向的关系是越来越少的而经常和划风啊退出啊防范等词联系在一起某种程度上说呢海底光缆线下的状况呢似乎也是整个互联网社会乃至现实社会的一个映射了我们不知道这是否是一种必然但是可以肯定呢当年出设这个海底海岸的菲尔德肯定不希望商业变成这样
[00:38:36] 感谢收听这一期的商业就是这样
