Vol.114 可持续是大公司的面子工程吗？
[00:35:39] 今天这是一个举例子大会我感觉我们说到现在一个例子接一个例子我们当中还科普了一些化妆品生产过程当中的一些小的know-how而且我在这个制作的过程当中自我也学习了很多美妆的知识补充了很多知识的空白
[00:35:57] 好那我们简单的小结一下吧我们可以看到欧莱雅的这个可持续的事业啊确实是融入到了整个公司的所有的核心的业务流程当中的我觉得这个是个重点你从市场端到原料的采购到产品的研发到供应链到物流到消费者
[00:36:15] 每个环节它其实都包含了可持续的一些指标一些KPI而把这些KPI落实的这些方法其实我们可以看到它和企业经营的逻辑是一模一样的就是你要平衡多种的需求需要让大家都能够得益
[00:36:29] 今天听肖桑讲了这么多我其实自己有一个疑问我估计这个疑问可能也是很多听友心里面听到现在都有的就是我们前面讲了很多很多案例结果每一个听上去感觉都好像是欧莱亚自己想要做的就是他非常的主动但是你回头来看好像也没有任何的法律法规或者说行业规范要求他这么做多少有点自己给自己找麻烦的这种感觉
[00:36:56] 所以我这个问题就非常实际欧莱雅这么做的动力是什么呢其实你提到一个是个很根本的问题就是做可持续很多时候并不能给公司带来长期的经济利益那大公司到底为什么要认真对待它
[00:37:10] 对不对这个其实也是做这个节目当中我一直就是贯穿的有个疑问那我现在的话其实有一个比较明确的一个想法我觉得有三个层面首先第一个层面是外力的约束就是你法律法规和社会的环境现在确实是对可持续的要求越来越高越来越严了尤其是对欧莱雅这样的跨国大公司来说更加是如此的
[00:37:33] 比如说一个很简单的一个例子就是你看这些上市公司的年报里边这个CSR也好或者是可持续也好是一个必须你要明确说明的一个环节你是不能省略掉的
[00:37:46] 这个其实就是一个标志了当然我们知道你像在欧盟这样的一些市场里面他们整个的氛围是非常在意于你大公司在可持续上面的表现的如果你真的比如说什么在生产过程当中污染了环境或者你的供应商污染了环境或者说是雇佣了同工等等的你不单单是被批评这么简单你有可能是真的会失去你大量的消费者的所以可持续性的事情真的会对你的整个生意产生很大的一个影响
[00:38:10] 那我们知道在国内的话在中国其实也很明确我们现在提出了这个明确的双碳的这个目标等等你也可以看到整个社会的氛围都非常重视这件事情这是第一个层面那第二个层面呢就是当企业你感受到了这种宏观的约束之后那比较明智的公司呢他就会选择把它内化成自己的一个价值观就是我不是被迫或者是受到压力去做的而是我主动去做的
[00:38:32] 这个的确其实从理论上来说企业在生产经营的过程当中难免会对环境或者对社会产生一些负面的影响这个就是经济学中经常会提到的一个副外部性那么公司其实就有相当的责任要去减少这种副外部性一般来讲越是头部的公司越是先进的公司越是会主动去做没错那这种价值观要如何在一个以盈利为目的的组织里面去贯彻呢
[00:39:00] 我觉得也很简单就是你在一些设计比如说钱也好或者说是人事也好的等等一些要害的环节里面体现它的权重比如像欧莱雅首先它有一个首席的企业责任官对吧不单单是欧莱雅了我们做商业报道的非常知道这几年基本上跨国大公司包括很多现在国内理念比较先进一点的公司都有这个配备对的同时它也会要求像CEO等等其他的高管也要直接的参与到
[00:39:29] 持续相关的一些工作和决策当中而且据我们所知在欧莱雅你这个可持续的工作是会直接关联到一部分package或者说奖金的这个收入里面的好这个涉及到个人的收入涉及到钱了这个就比较刚性了对这个我觉得是一个其实非常重要的点那这个就是第二个层面就是你把它主动的变成一个企业价值观
[00:39:52] 第三个层面的呢就是这个价值观如何在具体的业务里边能够分解成各个的这个具体的指标能够把它贯彻到日常工作里边我觉得这个就需要很多制度的要求比如说像欧莱雅的话它在产品的开发过程当中就有个评分的机制就是从各个层面给这个产品的可持续的表现打分然后你产品研发到了每个环节的时候都要打一次分而他们就有要求就是说你这一次不能比上一个环节这个打分要低
[00:40:19] 如果低的话你就要想办法重新来讨论重新来定方案就是以这样的一个过程来推动产品研发的
[00:40:24] 嗯这个等于就是把可持续的这个要求嵌入到日常的这个工作的流程里面这样可以确保所有的员工把这件事情真的当做一回事对这个其实也就好理解我们今天开头举到的很多产品研发的当中这个例子为什么大家会花那么多心思去研发一个笨头啊等等的其实也是制度这个具体的规章流程养成了他们这样一个工作的习惯当然啊如果真的能够做到这一步之后其实可持续也会成为一种企业文化
[00:40:52] 然后每一个员工他在自己的岗位上在做具体的工作的时候真的会把这件事情当做一个必要的部分给考虑进去当然真到了企业文化这个层次的时候很多事情其实就是细水长流了时间长了之后也会对一些你的合作方产生影响的你像我们录节目之前其实欧莱雅最近分享了一个案例给我们说实话我还蛮有感触的
[00:41:14] 就是他们发起了一个叫阳光工厂的计划就是想带动一些合作方能够雇佣更多的一些残障人士来参加工作当然这个东西你不可能去强制一些合作方一定要去做只能是号召对发起然后就有一个欧莱雅的一个物流基地的一个合作方他响应了他们从2022年开始培训然后今年已经招募了60名的听障的人士来做物流基地的一个贴标的岗位
[00:41:40] 然后他们据说今年是想要达到100人的这样一个规模这样的尝试其实对于像不管是提出他的欧莱雅公司来讲还是说响应他的这个物流基地来讲你说会带来什么非常明确具体的收益吗看起来没有但是当然了他也没有带来什么很显著的额外的成本
[00:41:59] 而且其实我们也知道其实对于比如说招聘残障人士这样的公益事业来讲政府应该也会有相应的这个鼓励的一些办法比如说从税收啊等等层面对对对但是对公司来讲做这样的事情无论如何还是需要从根本的就员工层面有价值观的推动才可以做得更多更好
[00:42:19] 优优独播剧场——YoYo Television Series Exclusive
