Vol.195 听完就会写港股IPO招股书（伪
[00:36:33] 它增加了从这个单店到整体的各种各样的数据进去告诉你到底微降是指什么对从刚才你报的那些数字里面可以看到其实那个家门店的这个日均接运的这个降幅还是比较大的对我觉得它这个超过10%了它数字的排布也是有一些讲究先给你说一些降的不多的对
[00:36:52] 因为像同店GMV是0.7%你会觉得不是很厉害然后包括单店的GMV好像降的也不是很多降了5%左右吧但是家门店尤其订单量和家门店日均GMV这个其实下降是相对有点明显的相对有点明显的OK那第三处呢还是出现在风险控制这个章节里面主要是违法行为和不当行为的影响在聆讯后的版本里面股民是不点名的披露了一个外部顾问的欺诈行为
[00:37:17] 它是这样写的就是这家公司通过向潜在加盟商虚假陈述加盟以后的财务前景以及在加盟过程当中索取个人回扣它违反了顾名的内部政策目前已经停止合作OK这是一个增加的一个负面的新闻利息数比较小它出现在业务章节里面主要改的就是一个词它的初高里面叫技术驱动就是说我们是一家什么技术驱动什么公司
[00:37:42] 聆讯后的版本里面把技术驱动这四个字去掉了这个其实就比较符合我们前面说的非误导要求这种词也是不太适合出现在我们的报道里面第五处是出现在董事及高级管理层这个章节里面可以发现古云在上市期间还更换了一位独立董事这个新的独立董事是原来滴滴的CFO
[00:38:02] 然后因为它是DTSCF所以说它身上有滴滴相关的之前美国的集体诉讼然后这个集体诉讼因为是个风险点所以需要额外再做一次披露这个应该是合规的一个要求一个变动第六处是出现在财务资料章节里面具体是在销售及分销开支这里增加了一处对于广告及宣传费为什么在2024年前9个月快速上涨的付诸
[00:38:24] 简单来说就是因为股民在这个期间和国产的义游烈雨升空有了合作然后呢因为这个合作所以向对方支付了IP相关的联名费用以及新品发布的一些广告费所以花了更多的钱然后在这个聆讯之后的招股书里面也可以查到当时股民在上海的烈雨升空快闪店开业首日的GMV就超过了29万元最后一条 袁老师说实话我觉得跟这个公司的业绩没有特别大的关系放进来的话纯粹是一些义游玩家才能关注到的细节吧是是是 不好意思啊
[00:38:53] 好请你继续到最后一处最后一处是在未来计划及所得款项用途这一章里面在初稿里面古明实际上已经写到了他在很多领域需要扩招人才并且列出了一些具体扩招多少人数的一个要求在临续后版本里面这块又稍微增加了一点点学历要求
[00:39:11] 在大部分业务上面希望聘请的是拥有学士及更高学历同时具有相应工作经验的人士而在产品研发上面希望聘请的是持有食品科学研究相关领域的持有硕士或更高学位的人士等于是要提升团队的平均学历然后产品研发最好是能请到一些博士就这么个意思虽然不知道食品科学的博士在奶茶公司主要是研发什么的但是反正还是一个挺有意思的一个指标希望他们能真的招到一点博士来
[00:39:39] OK刚才听于悦老师跟我们讲了这七条这个股民这家公司在出版的招股书和通过聆讯之后的招股书之间当中的一些区别一些有意思的一些点怎么说呢我自己一个感性的体会就是很舒适就是招股书的这些修改的要求其实有些地方很符合我们一些媒体写作的或者是新闻报道的一些要求对于事实对于客观的要求包括对于一些数据精准度的要求等等的其实
[00:40:07] 我觉得他背后的逻辑是非常重要的就是他首先要保护投资者的权益同时他要符合一些基本的事实的要求
[00:40:14] 对这次正好也相当于是我们在一个专业领域的初步的学习成果意外发现这种东西竟然也是可以学的今天讲了很多那种其实是我原来也没有什么概念或者说很容易忽略的是知道了招股书是怎么写出来的公司是怎么走这个上市流程的以及监管机构对于招股书有什么具体要求其实我们对于它的信息量和意义也会有一些新的认识给了我们一个比较清晰的一个框架至少知道以后看到一份招股书的时候我们应该有地方是怎么来
[00:40:42] 获取一些真有价值的信息对于普通人来说能够全方位了解一家公司的机会实际上是非常有限或者说几乎是不可能的即使你是在一家公司里面上班你也会有每个岗位或者是层级自身的一些视野的局限是阅读一份招股书其实可以让你在短时间内就尽可能了解一家公司的方方面面以及与它相关的各种财务法律和运营知识这种学知识带来的乐趣也是我们一直很喜欢读招股书的主要原因
[00:41:09] 从财务的角度来说这其实也是一种非常重要的能够抹平普通的投资者或者普通人和一些专业机构之间信息差的一个方式当然今天节目内容基本上是基于外部的公开资料展开属于是对于香港IPO非常非常入门的一个介绍并不是真的能够让你会写照顾书不作为任何的学习和研究建议
[00:41:31] 想真正赚取好一本招股书依旧需要非常多专业机构的努力经验和智慧其中有相当一部分其实是很难从字面上面看出来的如果说招股书的魔鬼藏在细节中那专业机构的功夫就在诗外商业就是这样
