Vol.105 鼎泰丰：传奇还是过誉？
[00:36:33] 除了这种消费者以外就是说鼎泰峰其实也会去找一些更符合他定位的一些消费者比如说办公室的一些高级的白领他可能就是平时吃的东西也会比较讲究一点或者也很重视服务他其实整体来说对于服务的要求跟西方的接轨程度是更高一点的但是这种人就比较少所以他为什么会开在一些相对比较高端的商场里边
[00:36:58] 对一方面是这个原因还有一方面就是说高端商场他有可能也是所谓游客聚集区那游客聚集区的话有可能做的也是说比较低频的生意一枪头的生意那这种如果说缺少高频的消费的场景的话他所谓的这个稳定又不再是一个卖点了因为你只来吃一次两次你对他印象也就是一次两次不会说这个
[00:37:20] 每次的出品一致性变成一个你深刻的记忆点这个对他来说也是不利的就是在国内他有两个他的这个标准化都体现不出特别大的优势一个是服务的一个是这个菜品的这个稳定反而是他这个产品本身这个中庸就被放大了对就是他为了能够避免这个中庸的问题他要去高端的地方但是高端的地方他这个连锁的稳定又体现不出来反正就是一系列不太
[00:37:46] 就是有点错配的一个感觉吧我们觉得就是鼎泰峰现在在做的确实是一个很难的事情他现在是在一些餐饮工业很发达的地方比如说美国要去推广所谓中国的这个餐饮文化然后呢都为了他的这个大的基础盘呢又要在一个有很强餐饮文化的地方就是中国去讲所谓的餐饮工业那这其实是一个就怎么想都是一个很艰难的事情
[00:38:13] 在每个地方他都是要做一个就是比较小数的人做的一个事情对那其实加上现在全球的一些格局的变化包括一些思潮的变化这个做事难度呢可能只会越来越大
[00:38:25] 这里还想讲另外一个问题就是说我们作为消费者吃饭的时候呢其实更多追求的是所谓这一餐的体验是不是好所以说呢正宗性价比这些要素很容易就被放大了就像我们前面提的服务可能没有那么重要或者说稳定性可能没有那么重要但是对于品牌来说他的追求其实完全不一样的他其实想追求的是我能不能持续的把这个店把这个生意做下去
[00:38:51] 它所需要平衡的要素就更多了甚至说你要说先保证要活下去那你这个利润率或者说现金流的话就是一个更为重视的事情那反而说服务产品这些都可以往后放一放
[00:39:05] 那如果说你这个品牌只有一两家店的时候那这个消费者的诉求和品牌自己的诉求有可能还是可以协调可以满足的就是品牌我想办法就是说服务好消费者我这个店就能维持下去这是一致的但是如果你品牌越大门店越多那这个当中的微妙的差异呢就有可能被放得越大
[00:39:24] 因为老师刚才讲的有可能就是我们觉得鼎泰峰这个品牌在当下所面临的一个根本的挑战也就是说他所追求的平衡和一个典型中餐消费者所追求的平衡其实是不一样的他们之间有一个错配而这个错配是所有全球连锁的中餐品牌都要面临的一个长期课题商业就是这样
[00:39:53] 感谢收听这一期的
