Vol.246 潘通凭什么靠颜色赚钱？
[00:35:51] 好吗他们还是工作了的对这不是草率的决定具体的工作方法可能是他说是会派研究人员去满世界跑去关注各种重要场合上的色彩趋势包括但不限于时装周的秀场电影节的红毯艺术展览社交媒体上的流行内容甚至包括新兴的旅游目的地和热门运动项目等等整个过程据说会持续数月到数年不等反正就是通过研究出来的
[00:36:17] 另外呢他们也会追踪就是Pantone色卡在实体世界和数字平台上的使用数据作为一个辅助判断的方法大家没说具体怎么用的我大概理解它可能是这样就比如说过去一个颜色它可能用的比较少或者一直以来用量都比较平稳但是逐渐开始有一些上升的趋势或者说有些重要的设计师在用这个颜色那它有可能就会加入整个流行色的一个候选
[00:36:40] 怎么说呢他确实表达了他们不是直接扔飞镖这件事情但也只是说了不是在扔飞镖对我感觉让我想到了你看过一个小的视频叫做看上去很努力工作实际上什么都没做一堆人在搬箱子然后有个人看上去超寂寞实际上一个箱子都没有搬过不是说他们就在干这个事情但我觉得有点类似的感觉是不过我觉得他讲的色卡背后趋势数据可能确实有那么一点点用因为有另外一家是
[00:37:09] 上预测机构叫做WSGN也是类似的做法甚至WSGN就是更大数据他们会非常基于数据来做流行趋势的分析WSGN也做流行色的预测也是每年年底发布所以说到年底就看这两家可能给出了流行色差别还挺大的有点打了一台的意思我觉得也是互相的有点提热度稍微有一点
[00:37:33] WSGN其实它的业务范围比Pantone更广它做的就是更全面所谓时尚预测那它除了颜色的预测以外还包括风格 材质 搭配等等方面它自己也有相应的数字化平台就可以帮一些比如说时尚的设计师做那种高保证的模拟呈现所以如果是这个行业的创业者可能说更熟悉WSGN这个公司
[00:37:54] 而在本身在颜色这个小的领域上面WDS金和潘彤也是合作关系就是他们其实是两个领域的公司然而在这个地方有点交集有点合作有点竞争就这么概念一敌一友的一个关系不过回到前面讲的这个年度流行色虽然岳老师跟我们解释一下它是怎么生成的这样一个大致的逻辑还是觉得它这个噱头远大于实际的价值你从这个有点灰的白有点白的灰里面能看出什么年时代的变化吗我是说不清楚
[00:38:23] 我觉得他这个噱头的价值就在于还是帮潘通这个名字每年在一个固定的时间能够出现一次这个是很重要的可以不止出现一次就是一段时间就是大家一直在讨论他就是有一段时间热度的免费广告我觉得潘通这套流行色逻辑虽然以免费广告为主但是实际上还是每年会有一些品牌实际跳出来为他这个东西去买单
[00:38:45] 比如说好像这个云五四就被什么文华东方还是哪个酒店就是启用了还有一些家居品牌消费品公司可能会愿意跟潘通合作就是出这个流行色的产品
[00:38:56] 就可能这个老板确实觉得这个流行色不错那我们就拿来用一用虽然实际销量可能也不会太高但是这个对于潘通来说又是一轮这个收费广告而且还是共赢的收费广告这个就说得通了最后还有一个小要点就是潘通有一个消费品授权部门就是给潘通出周边的就是有一些潘通色或者基于这个潘通色卡样子设计的周边然后呢潘通还有些小的另类的业务比如说有一家潘通主题的精品酒店在布鲁塞尔
[00:39:22] 然后在日本呢有一条攀通授权的医院工作服生产线他生产一周七天不同颜色的公服这个主要的作用是这个比如长期护理的病人他可能对于时间概念会比较模糊但他看到护理人的这个衣服可以快速识别今天是星期几
[00:39:38] 这个叙述实际上是有的不过你这个呢说实话我想到了一些就具体名字就不提了一些这个这个小说的设定比如说每天用的牙刷的颜色是不一样的anyway就是这类周边收入在潘通这里是很小的一部分这主要呢还是作为一个有效的品牌宣传手段存在的就表达这个公司挺有意思OK今天我们其实比较深入的聊一下潘通这家公司
[00:40:01] 其实原本我有个预期就是他跟我们之前很古早的时候聊过一起讲那个利乐包装利乐那个公司我觉得差不多因为他们都是卖一些这个标准的但我觉得只是像听你讲下来之后我觉得他这个标准还是不太一样因为这个标准本质上是一套沟通的系统就像我们前面提到的它是英文中文这个攀通实际上也是一种关于颜色的语言而这个语言的价值就在于越多人使用它它就越强大越有用
[00:40:27] 在这个逻辑之下的话其实攀通它就是要不断的强化自己作为色彩权威的地位让更多的中文正统在这里对就是这样的就是让更多的场景和人都来使用它或者讨论它它才能够变得更加的牢不可破不管是年度流行色消费品的授权都是这样的一个逻辑确实是但是跟色彩一样
[00:40:48] 语言本身也应该是开放的免费的那攀通如今能在免费这个色彩的基础上建立起这么稳定的一个商业模式我得不说还是有些垄断地位的影响以及色彩本身还是有很强的魅力所在的很多时候大家实际上是愿意为这种多元多彩的魅力来付费的只不过被攀通劫走了其中的很大一部分那从这个角度看呢如何在保持开放性和获取收益之间找到平衡点
[00:41:14] 这个就是攀通的长期挑战而这一切都源于一个简单的洞察在一个混乱的世界里标准本身就是价值商业就是这样
