Vol.201 博世的治理架构，全球找不出第二家
[00:36:35] 就是说有九位数的德国马克的研发费用好家伙我们前面说的那个遗产税也没有这么多对如果换它成当时的话就是一个一亿美元级别的这个研发费用就一个产品啊但是啊这个ABS在推向市场最初销售的五年里边由于这个高昂的研发成本它要摊销嘛所以说单个ABS系统的这个单价要2500马克太贵了而且呢整个市场就觉得这个事情好晦涩难懂啊又不可能都像波克一样跟你讲一遍所以说很多消费者和车厂都不愿意接受觉得没什么用
[00:37:05] 所以它装配的车型非常非常少只有在什么奔驰S级这种最顶级的一些车型上面会少量的配置博士因此每年还要在这个上面再亏损3000万德国马克也就是说自己先投入了一个亿然后投五年加在一起还多亏了一个多亿就是这样一个概念听上去像什么东方树叶的史前史的那个部分那我觉得比东方树叶还是苦多了直到这个产品推出五年之后ABS才开始盈利而一旦进入了盈利轨道这个ABS的
[00:37:31] 投产的规模装配的规模就迅速的扩大很快的普及到了1995年装配ABS的车辆已经累计超过2000万辆了而这段时间里面博士在这个市场是几乎是一个统治的地位没有对手的因为只有他花了大量的时间去研发这个产品所以他技术壁垒是非常非常高的听起来这个模式其实也很像就是要起嘛他要起这个收入比较高但是他愿意花很多钱去做创新的研发而且能够忍受长期的亏损
[00:38:00] 最后能实现长期的盈利这个都是一些资本和技术实力比较雄厚的大公司很擅长的一个路径对的但是在这个激进非常激烈的汽车市场其实这种要忍受长期的亏损然后大量投入的这种项目是非常非常难的就它很需要领导层的决断和坚持你想象一下如果博士是一家上市公司这个第一个季度股票就崩了对首先股东就未必会同意这个项目的研发投入这么多对吧
[00:38:28] 因为当时根本就没有证据证明这个市场需要ABS当时他们并不知道这个东西以后会是标配的所以说有可能这个项目立项就会夭折其次即便研发出来了就花了这么多钱研发出来但是投入市场前五年都是亏的有可能亏了第一年第二年股东就有可能要求你项目不要再往前推了客户也有可能说我没有信心了你不要再继续推这个东西了这个事情就结束了那也就没有之后的这个后续的研发的改进啊扩大生产规模等等等等的
[00:38:55] 从这个角度来看正是因为整个博士的管委会它的权力非常的稳定持续然后他们的目标非常的明确才使得ABS这样一个产品能够柳暗花明然后到现在这样一个市场地位ABS是一个最有名的产品的例子我们还可以举另一个数据来证明管理架构的稳定和长期主义之间的关系就是在1990年代博士实际上经历过了一段整个宏观经济的衰退期然后市场也萎缩了然后它利润空间也减少了
[00:39:23] 自己还遭遇了一些劳资纠纷等等实际上是一个很有挑战的低谷期但就在这段时间里面博士的研发费用率还是从1985年的5.2%提升到了1995年的6.9%研发费用率就是你把收入的百分之多少用于研发对其实就相当于说这个公司在业绩不好的时候他还坚持不开这个研发预算对而且不是绝对知道是这个占比还在提升实际上是非常非常难的当然我们还是要回过来说
[00:39:50] 这个当中有一个常见的迷思要破除一下就是博士的这个长期主义并不是说那种我认证了一个技术很有前景然后我就咬死不松口然后不管了多大大家我都要熬出来那种类型就是ABS那个例子有可能会让你有这样的一个错觉但实际上不是的
[00:40:06] 博士还是会根据市场的趋势来做一些调整的就一旦他认为这个领域他再怎么做都无法处于稳定的领先位置那即便是一个特别巨大的市场他也会收手的比如说呢比如说我们现在非常熟悉的就是汽车的动力电池博士呢曾经实际上是收购过相关的公司然后想要自己生产动力电池的电芯这个核心产品的但是几年后呢他就宣布退出这个计划了因为当时中日韩的企业在这个领域已经非常的领先了
[00:40:34] 然后博士做了个判断就是如果自己要赶超的话需要极大的投入而且有不小的失败的概率所以他就选择抓住他已有的优势就是这个电池包的管理系统他非常的擅长他去做这个了还比如呢博士曾经花很大的资源进军过电信行业我看这个书里面其实花了很多时间讲这个部分这个可能亲爱的大家都不太熟悉了就是他做过电话一些通信的设备质量非常大的
[00:40:58] 而且一度是很有建树我看占整个公司的这个销售的占比有20%以上但是一旦发现这个部分遇到了瓶颈然后很难突破的时候它就非常坚决地剥离了这个耕耘多年的业务其实是很勇于接受失败的一个公司另外一点就是博士这家公司其实从创始人开始呢创始人本人也不是那种什么绝世的天才发明家这个人设是比如说看我们前面讲的这个点火器就火花塞这个东西它最初四度呢
[00:41:27] 也不是他们自己想出来的是一个别的工程师想出来的他没有发明这个火花灾对但是他做了重大的改造是ABS呢也不是他们首先研发的他最早的技术是来自于另外一家德国的公司还有一些比如说像博士很长一段时间他有个利润奶油产品叫电喷系统是的这个系统呢最初速度也不是他们原创的对但是博士他是最有能力把这些想法转化成大规模生产的这个高品质产品的这样一个公司
[00:41:56] 我能做重要的改进和突破然后我能把它变为一个量产的商品这个是非常重要的我觉得这个也跟罗伯特博士本人的这个理念相关就是他的技术研发总归是和人们的日常生活的这个实际需求相关的他是从这个角度来出发的现在我大家有可能会比较听到过就是博士整个公司的这个slogan科技成就生活之美翻译比较的文艺但其实他这个意思就包含了这一层就是我们还是要从人们的实际的需求应用来出发的
[00:42:24] 所以还有一点就是我觉得博士不是一家闭门造车的公司就像我们前面讲到一个是他们很注重吸收外部的一些技术的然后再做转化还有一个就是他的全球化战略其实里面包含了很多互相学习的部分技术和生产模式上面一直会去学习一些其他的对手比如泰勒吧泰勒对这个是比较早的其实1970年代还有一个很典型的案例就是他们去学
[00:42:48] 在日本他们很欣赏的一家做汽车零配件的一个公司叫电装公司他们去学了他们的看板系统然后回来说我们应该也要按这个方法来组织我们的生产管理对那个时候因为丰田模式非常的火热博士其实也去学过电装就是丰田最主要的一个供应商
[00:43:04] 其实在讲上面这些内容的时候呢我经常会想起做汽车记者的时候博士中国就是我很喜欢的一个采访对象不论是他们的总裁还是一线的工程师都给我一种怎么说就是既接地气但又能跳开来看问题的那种印象他们会很坦诚的跟你说我们现在这个市场遇到了哪些挑战和困难其实是挺难的但是呢又会一针见血的给出一个解题的思路同时这个思路基本上是都基于他们的这个公司的一些技术的优势然后产生这样的信心
[00:43:33] 我觉得这种风格和气质就是和博士的长期主义的企业文化是有一种内在的关联的如果打个比方的话博士的长期主义可能更像一条大河河是有明确的方向的但是水无长行遇到阻碍它也会绕开它的源头是罗伯特博士的理念和价值观员工资金技术等资源形成它的水流而独特的治理架构则构建出了它稳定的河道让它始终超前并且越来越宽广
[00:44:02] 博士就是这样
