Vol.272 2026年了，怎么还有人要做中国版Airbnb？
[00:37:53] 最早其实是在调研的过程中顺手做的这个事情你并没有说一定说把这个东西最后做成所以我要用这个方法来做这个增长是这个意思对 是的其实是发了大概四五十篇之后才会有笔记开始报就是有了几千点赞这样的情况然后粉丝量才会在增长但其实发第一篇的时候就已经有人来私信问我这个房间能不能住我当时非常意外
[00:38:17] 对就是你只是一个住客你为什么就是会觉得说你问一个住客这个房间能不能住你会得到很合理的回答的他就想让我介绍一下给他然后是一个默默号就那种也没有头像什么的对然后是我的第一个客人然后那个时候最简单的方法就是我把他们两个拉个群然后你去住然后房东也很意外你还能帮我拉客人这个第一个房间你是怎么找的
[00:38:41] 第一个房东是在携程上找到的也不是小红书也不是携程因为第一反应是你想找那种用搜索比较标准的方式能找到他们因为刚开始我也不知道在小红书上怎么找一开始还是跟小红书不是很熟不熟没用过以前携程和美团也是有一些房东出租的是自己的房间的
[00:39:02] 只不过这个比例连1%都不到就是你要在这个搜索的后半部分找一些权重很低的东西翻出来是吗而且你要找那种出租单间的但出租单间的绝大部分是他有一个三室一厅他三间分组而不是说他住在里面他租一个房间就是你相当于你在携程上你要识别这样的东西是非常困难的非常困难的你就是在跟
[00:39:24] 平台的算法就是搏斗你去找算法最不奖励的那一类就可以了是吗但你就觉得找的很累然后发了第一篇小红书之后当然算法就开始识别到一点你啊你偶尔就能刷到一些人算法这个人可能就是想住一些奇奇怪怪的地方我来推他一点对然后就在那个时候开始知道小红书上有些人会发比如说来上海住我家就类似这样的词条然后你一搜
[00:39:49] 不搜不知道一搜不得了就是你根本搜不完进入了一个暗池对进入了一个暗池就
[00:39:55] 各个地方的人都在打开自己的家门让你住我家然后我就开始从小红书上但是要收钱就不是当初的所谓的沙发客但沙发客本身其实是一个比较左比较你要有大城市的生活经历你好像要受很高的教育这样的一个平台跟Homeaway其实是虽然价格差很远但其实是同源的Airbnb是那一类大家是真的缺这个钱
[00:40:22] 然后这些房东里面确实就遇到了就你去跟大家聊你就发现大家的收入的情况可支配收入的情况在逐渐的变差然后这些房东里面我遇到过最差的是一个单亲的妈妈然后带着一个大概三四岁的小朋友然后她的房间里面客厅是没有装修的是清水的然后家里面装修的就是厨房洗手间和卧室一点点已经能装修说明她还就是买完房子还剩那么一点点钱她还愿意去做装修已经很好了
[00:40:50] 只有平常能用到的那地方他简单装修了一下他每天出租次卧然后他还要出去做两份工作来挣钱中间其实也遇到过他的收入并不差的房东然后但这也是给了我一个提醒就是去判断一个人的绝对收入和他可支配收入之间的关系我在成都遇到过一对夫妇他们两个人一个是律师然后一个是在大学里面任职
[00:41:13] 听起来在成都那样的地方应该已经是收入很可观很受人尊敬的职业了听上去很好一个月也有两万多块钱的收入加起来然后我就说你们一个月挣两万多块钱为什么要做自卧这个事情一个月可能挣一两千然后就挣十分之一不到他说钱不是这么算的然后就开始给我掰扯
[00:41:31] 就给我拿出他的账本他有一本厚厚的账本记录他每天的花费和收入这我查问一下是先生级还是太太级太太级太太级然后这两万多块钱呢玫瑰还完房贷之后还剩个一万三四然后除去到这里已经已经减掉了大概九千七八千左右对然后
[00:41:52] 对还没有扣你的什么五险一金那些东西你说的两万二是税钱的税钱就是五险一金钱对那确实是然后再扣完房贷然后再扣完这个月的柴米油盐就各种钱全部扣完然后每个月他们大概有五六千块钱这是在他们两个没有小孩的情况下对在没有小孩有小孩情况下这五六千就会消失应该没了应该要爸妈在这再补贴一下是他从18年开始做然后每个月平均下大概有两千一百块钱左右
[00:42:19] 然后他跟我说的原话是我有了这两千多块钱的额外收入我进超市买西瓜的时候我就不用再看价格就是我知道你是四川人你们四川人吃西瓜有这么困难我想问这个问题我理解如果你是在还房贷过日子的话你可能会在意你买的是不是个什么麒麟瓜还是一个什么小蜜瓜就是我到底是要去这个车上面买还是我走进超市也可以买这个区别
[00:42:42] 那这样子来说所谓可支配收入概念是不是就比如说你遇到所有的房东他们的所谓算可支配收入这样跟我们假设说国家统计局算的那个账会有很大的出入或者这大家心里面会觉得说什么样的收入才叫可支配收入对于普通老百姓来说就是你除完这个月必须扣除所有钱柴米油盐水电气房贷这些钱除完之后我兜里还剩多少钱
[00:43:05] 这个才叫真正的可支配收入然后他其实在这个可支配收入上面再加一部分额外收入然后看这个额外收入在他可支配里面占百分之多少是的他的心理账户是这样去算的当时Airbnb有一个数是Airbnb当时在08年的时候美国的中产阶级大概年均的中值收入可能就5万美金左右然后因为金融危机的到来这个5万美金的购买力变成了4万5千美金就缺了那么5千美金左右
[00:43:31] 所以Airbnb当时的测算是只要这个房间能给他带来7%到10%的这个税前收入他们就已经能够很好的度过这段时间他其实只是填的是那个缺口只填那个缺口就可以了因为他本来五万美元也都是要花光的这个意思但中国的话可能还是要更重视一点比如说储蓄率要有基本的保证可能还是这个观念上中国人跟美国人的焦虑很不一样就美国人是只要明天你告诉我在哪出饭我可能就还好
[00:44:00] 这样吗就到那个阶段了但中国人是中国人一般来说至少要想到下个月吧就是我如果这个月被裁员了但我兜里只剩五万块钱不行了我很焦虑我可能得有个十万二十万我可能心里会稍微好一点东亚人的焦虑可能跟欧美人不太一样所以说反过来说他会对所谓的真正的可支配收入的那个追求会更大他要那个安全垫会更高是的还有没有遇到过就是早期调研里面就是很出乎你预料的一些
[00:44:27] 我也遇到过在北京的互联网大厂里面就这也要出租是因为在家住的时间太少了吗他们的原因是因为被AI冲击比较大两个人都是程序员然后对自己的工作有非常强烈的恐惧就可能觉得自己到今年就会没有工作了然后但自己的收入呢两个人加起来相对还可以有好几万块钱然后他们每个月做次卧是想要给自己锻炼一下自己赚钱的能力锻炼一下赚钱能力
[00:44:55] 就做事业的能力同时他们还在自己家里面养鱼就是那个养观赏类的那种小鱼然后卖嘛然后在咸鱼上卖40块钱两条包邮这种
[00:45:06] 就做很多这样的事情来对抗AI带来的焦虑当然他们今年年初都没工作了然后就是次卧和观赏鱼确实成了他们人生的新的一个主持他们就离开了北京去其他城市做这些事情了因为成本就更低了对尤其是观赏鱼确实不需要在北京这么高档的房子里面来养是的那我们其实这里讲的都还是供给的情况那需求情况就除了这种给你发私信我能住你住过这个房间的这个需求的话还有别的
[00:45:35] 来源吗就是你的第一批需求是哪里来的需求最早就是小黄树上大家看到笔记这样慢慢来然后后来你每次都要拉个群一开始是这样的然后后来做了个小程序然后大家就知道大家自己在小程序上去找房东但后来主要的来源其实就来自于房东房客们彼此的推荐我给大家做了一点简单的那种就是推荐的激励然后大家就会开始彼此推荐朋友来成为房东成为房客这个就现在主要的增长来源
[00:46:02] 我先问房客吧房客你一般来说就是我们现在平台上面常见的房客的画像是个什么样就比如说年龄性别或者说他的需求是什么样子的虽然一开始没有专门运营但房客80%多都是女生而且女生的年纪还相对比较年轻大概就从18岁到29岁我觉得这个是一个其实是我非常觉得反直觉的地方因为女生尤其是年轻女生出去的时候其实对于安全的一般来说会认为安全的顾虑会非常的高所以说
[00:46:32] 大部分人会选择就是说能力范围内比较好的酒店他甚至进酒店还要查一遍有没有摄像头对吧那他为什么会就是说最后是选择是住可能大家认为说安全性上相对会低一点点的民宿你刚才已经提到很重要一点叫可承受范围内所以是不是所以是因为可承受范围本身限制了他是吗是的因为我的客栈价平均下来就大概120 30块钱就跟当时的美团酒店是一样的然后你想在120 30块钱这个平均的价格带里面
[00:47:01] 找到一间汉亭不太可能就今天上海的汉亭其实就在过去三年啊就是疫情之后汉亭平均可能往上提了个50%左右的价格小城市的汉亭100多块钱现在应该是200多块钱然后上海这样的城市的汉亭应该是300多到400多块钱
[00:47:16] 拳击在陆家嘴这样的地方应该要800到900块钱就是拳击我怎么样我最好一个房间住五个人这个我才能差不多心理达到我的较为对你才能call的回来这个平均的回来然后其次是我们对安全这个事情的定义可能有一些我们在大城市生活带有的一些偏见或者说我们其实在社交媒体上看到就是对安全的要求会非常高的人会去讲这些东西对是这样吗他们其实也在乎安全
[00:47:44] 有很多的房客和房东跟我反馈为什么我愿意去一个次卧这里面住是因为房东也是个姐姐
[00:47:51] 他会觉得更加安全一些而不会出现就起码在这种姐姐的家里面是不会出现有摄像头吧就这些事情会少一些有些朴素的认知但是就反正符合他自己的一个逻辑的朴素认知还有很重要一点是一个女生出门在外比如说住个七天她一定会用到洗衣机就要去洗衣服什么的但是在汉庭里面可能住了200个人然后里面有一堆男性你要和人枪洗衣机对用同一台洗衣机来洗衣服你住在
[00:48:20] 一个姐姐的家里面可能只跟姐姐一起用这台洗衣机而且大概可能洗衣机的质量也不会太差还会有烘干机这些因为毕竟是自家的装修水平那他们一般来说就常见的就是去选择这个平台上的次卧他的就是出行的需求是什么呢之前我做过给他们做了一次调研调研大概五六百个房客超乎我想象的是有一半以上不是因为单纯的旅行这一半的人就是因为我要去求职
[00:48:49] 然后要去考试然后要去旅居是因为这些更长的需求然后要平均住个七天到一个月这样的诉求这平台上面现在平均入住的时长就四天多四天多比我想象中就是要长而且是不是要比一般酒店居住也是要长房东的话就跟你最早做这个生意的时候你会有看到有什么比如说年龄层上的或者说学历背景或者工作上面的变化工作大家都没有工作了是这样吗
[00:49:16] 首先说年龄的话其实就是我们刚刚说我们这代人就25岁到40岁然后这拨人好不容易买了一套房子的人大家通过不管是读书还是因为工作的方式来到了一个城市里面然后掏干六个口袋之后买了这套房然后迅速这套房就跌穿了首付然后
[00:49:33] 这个噩耗就刚好被这一代人赶上然后其次你从大家的工作上来看我前200多个房东统计他们职业的时候有30%是跟房地产强相关的就是类似我们说什么监理大哥设计师是设计师是最多最多的就那200多个房东里面有20来位是类似室内设计师或房地产平面设计师大家现在都没有
[00:49:57] 正式的工作就是把这些人凑在一起是可以开个新的设计公司是的肯定都是从一些很有名的设计院甚至房地产公司出来的确实那个时候就是你如果整个房地产的这个衰退的链条就这样传导的话确实是这部分先失业是的然后就到了这个所谓的最近就是大厂员工可能是这样对毕竟房地产还是中国就业最重要的一环它上下游的产业实在过多包括这里面还有开自己卖家电的以前然后店也倒闭了
[00:50:26] 你像爱比营最早的一些房东跟他们的社会环境更像他们最早的一批房东是女性的老师护士和酒店旅游行业从业者然后这些人呢因为第一天天跟人打交道跟陌生人打交道所以他相对比较接受其实就是已经是服务业了对就是服务业然后其次是这些人的收入在美国是相对比较低的那一波才有的后来的什么医改和教改那些说法的到中国来我们的
[00:50:55] 中年一些的老师和医生可能是过得比较好的一拨人反而是年轻人家里的次卧要留在这个假期要给小孩上课这完全不能出租出去的一个类型你现行外出到我们这反而比较惨的就是年纪稍微轻一点的在棚改期间买了房子的这一拨人这部分就不管是你的房东还是房客他们之前就是听说过其他短租平台的比例多吗
[00:51:22] 这个也是我开始调研的重点因为我其实非常我比较担心的事情是我遇到了这些房东然后他们很快就被美团抢走了会不会有这种不是因为这个原因是因为我害怕他们绝大部分是想等待Airbnb回来就因为狭义上中国用户在谈论爱比营的时候其实谈论的是16年之后进入中国的这个爱比营做整套房子在豪华的这个房间里面就装修很漂亮客单价大概是美团的三倍
[00:51:49] 然后住的时间比较长房东房客可能都有海外的各种求学或者旅行的经历所以我很担心这个时候出来做房东的人就疫情之后是带着某种对Airbnb的文艺复兴的想象来做的他就脱离了这个事情该有的原本的最基础的诉求我是需要赚额外的收入其次是我可能也希望
[00:52:12] 反正大家过得都不太好来个人跟我聊聊天因为聊了这么多人下来大家经常会说到如果十年之前我们坐在一起聊天可能大概率聊的是该买哪的房子然后你工资多少钱去哪玩现在大家会聊一些形而上的话题他们绝大部分人都没有听说过90%以上的人当你跟他说爱比赢的时候他可能会露出一种就这样
[00:52:38] 就可能模糊地听过但其实并不知道是什么跟没有用过但绝大部分人是完全没听说过有些别的平台比如说像短视频平台会有吗也会有一些人在上面自己发但仍然是交易和履约会有一些问题因为这些比如说小红书和抖音短视频平台大家并没有专门为你去出租自己家里面的次卧建立一套履约体系说到底就是一个展示平台
[00:53:02] 最后怎么承担你要自己想办法对你极有可能以违规为代价来想这个办法所以说你相当于其实就是把最后的那个履约的部分做出来对然后大家也不太愿意去上携程和美团最核心的原因是因为那两个平台是为那种所谓的二房东搭建的然后他们的每一个房东平均都有七到十套左右的房子就这样子才能让他整个运营成本会打得相对会降低因为你比如对美团的房东来说今天有个客人投诉那美团的房东一想我有十套房子
[00:53:31] 我为了不影响自己的评价我赶紧就退钱这些事情就会比较常发生在OTA这样的平台里面并且那些平台可能也需要你做一些广告上的投入或者类似叫经业酒店特价经业降价的一种方式而且还有很重要的一点是OTA上来的客人他大概率没有认知到这个房间是有一个房东人住在里面他可能会把你当成一个服务者
[00:53:56] 他对你的认知可能就跟酒店确实差不了太多他就会用酒店要求来要求但那是携程和美团这么多年努力的结果好不容易标准化那比如说现在我们在你的这个平台上假设我们要上加一间房源的话你会要求他传哪些东西呢他有点像跟小王叔一样他用图片和文字上传上来就可以了不需要房产证不需要房产证租赁的房子你也是可以出租的但你需要跟你的房东之间
[00:54:25] 达成一致就如果你的房东合同上写着不允许你做二房东那你就今天还是不要做这个事那这个你是需要他给你一个promise还是后宴就只要图和文就可以了对这个一个方面是因为你如果不仅要图文还要很多的标签的话你就会逼房东变得越来越标准化前端就会出现很多的标签因为他只有一间房子他把它弄得很标准化了以后也没有什么
[00:54:54] 但是其实就是你
[00:55:19] 因为你把这个东西做得很简单反而大家觉得说我要卷一卷才能显示出我这个房子的性价比很高也有人就是只写一句话也有的吗也有这样的人就只写一句话从另一个角度来说因为之后的AI的出现现在的AI不就是通过自然语言在做交互吗它就大概率可能不需要你过去填那么多的标签信息它可以从这个房东写的这些内容里面和图片里面去识别出来
[00:55:45] 你刚刚说这个租的房子也可以往外挂这个确实是有点把我震撼到了那比如说其他的合规的合约你会做哪些合规比如现在你中国现在比当时的爱比营本身的平台的合规已经要进步非常非常多了比如说爱比营至今可能不能解决全球那么多不同国家民族的人的实名认证这个事情非常困难然后他们至今也解决不了比如说不同种族的人申请住在比如黑人住白人家
[00:56:14] 它的预定成功率是相对要低很多很多的这个是它无法解决的这个世界人民大团结的问题但解决不了这些问题但第一我们本来都是中国人在用这个平台其实你搭载在类似像微信支付这样的第三方支付上面它已经做过第一次实名认证了对你至少知道这个微信账号后面绑的是谁对付钱的人是谁
[00:56:35] 那你其实要做的就是一些比如说房源的合约房源合约是我就会线下去跑然后包括去房客第一次住完之后我就会去跟他们要一些反馈就其实是你通过房客来帮你帮助你再做这个合约的工作后来还是做资金的托管是吧就比如说大家这个预定的时候这个钱不是说直接打到对方账上然后明天这个人就关门跑路这个很有风险如果你就直接微信转给一个人你上哪去追他呢
[00:57:01] 这就是大家就是我能想象中比如说你真的去跑去住别人家且要收钱的时候你就会遇到这样的感觉是的对于这个所谓的
[00:57:11] 我们说分租卧室这个行为来说中国现在有没有明确的说法说是不能这样做以前的规定是对所谓的整套出租的民宿来讲的然后当然他没有非常清晰的说你是不是人住在里面的以前的规定是只要你想做民宿然后需要比如说你这栋楼里面其他邻居的同意然后你街道的等级等等等等
[00:57:38] 然后这些事情从大概二三二四年之后就还是跟我们刚才提到顺风车这些就业相关然后开始有了一些些的变化和松动以一些条例的方式你比如说民宿或者酒店这一类型的住宿实体大家其实是归在公安局下面的某一个治安大队在做管辖然后但类似像我自己家里面去出租一个房间这样大部分时候可能是归属在派出所的一些类似户籍
[00:58:05] 这样的管理但具体每一个辖区派出所如何管理还是各个房东要跟自己的派出所去沟通你像有一些城市就会推出自己的在线登记的小程序甚至网页你家里来住一个人你做一个流动人口登记就可以了对就可以了这其实就是跟比如说我有个朋友来家里就是你如果管得严的话我也理论上要做这个市民登记但是就可以了对每个城市的管理方法都很不一样它还没有一个全国性自上而下的规定
[00:58:32] 但反正就是跟住酒店会有一点差别但没有想象中那么严格的要求或者说没有那么多限制对但这就是后面平台需要去努力的方向我去帮所有这些房东完成直接的在线登记去做实人认证去做这些事还有个问题其实我一直很好奇你们上面的房源是怎么定价的全部他们自己来
[00:58:53] 我不参与我不干涉这个跟酒店又差别很大因为我们现在知道像华珠这样的酒店集团它甚至是可以后台帮你动态调价是的为什么会这样因为你是从里面抽佣的这个我可以直接跟大家说它是从里面抽大概15%的佣金在这个项目里面理论上一个房间定价越合理你抽到佣金比例会越高你到你手里收入会越多为什么你会放弃这个部分呢核心就是你无法定义合理
[00:59:21] 就合理的定义主要的来自于因为大家都是兼职都是次我这个事情不是一个生意每个人的预期差异非常巨大这上面甚至有几十间房间有二十多间房间是完全不收费的比如说你是一个剧女这也是我最近学到的词就是你喜欢看音乐剧上面有房间是免费给音乐剧的但是前提你要证明你是一个剧女对你得证明你今天晚上住她家的时候是来看了剧的你要给她看票根就这种
[00:59:49] 然后也有就是自己创业失败的人想要给别人提供一个过渡的地方一个人最常住七天然后他也不收钱的
[00:59:57] 他每个月只要挣够这个钱他就不想做了
[01:00:25] 所以你很难定义大家的做这个事情的标准然后很多房东也会来问我我应该怎么定价我就跟大家解释说次卧跟酒店最大的区别是酒店每一个可能都有一两百间房如果咱俩酒店都开在同一个街道上你每间房间比我便宜一块钱那我今天完蛋了OTA就不会卖我的房间但次卧因为一只有一间二你们两个的房间可能天差地别你可能
[01:00:50] 有更好的烘干机他可能家里有咖啡机然后我可能也会想要不一样的房间就相当于他所有的体验是没有办法做合理的统一定价对原因就是这个他的预期和房间里面的东西包括地理位置都没办法标准化最后只能说你觉得多少合理就挂多少对就按你自己的想法来这个事情Airbnb后来也帮大家调价是因为当区域的密度和订单的密度上来之后会有打架的情况对
[01:01:19] 并且房东绝大部分已经转型成为职业房东了那个就是要讲生意对你就可以这么做了但是因为我们就是还是大家非常纯良的一些普通的好市民在租房子还是个社区你会觉得这种就是说还是让大家自己定价这种状态会长久吗或者你以后会给大家更多的更精细化的定价指导吗我
[01:01:40] 不知道它会维持多久但我知道它不可能一直持续下去对啊我听上去就很过于理想的这个事情就你按客观环境来说第一肯定过几年会变好然后大家会慢慢变好起来然后其次是中间一定会出现一部分房东他开始意识到做这个事情好像
[01:01:57] 没有那么累还能挣点钱这个时候刚好比如他同楼里面的邻居要租房他就去租下来他肯定就想多挂一间房间上来半职业房东会出现就慢慢这么过渡那这样子就其实会要有更多更精细化的运营的手段迟早的但你就希望尽可能这个阶段能维持久一点因为所谓的你的社区规则就会在现在这种碰撞和摩擦里面产生我们讲一下那个用户规模
[01:02:26] 就是比如说你做第一个阶段就你自己去跑的时候你最后大概是收集到多少的用户量呢我自己频繁跑的那一段时间就是去年大概也就五万左右的用户然后房东可能就四五百个这个是一个合理的比例吗我觉得是合理的因为我那时候线下你能见一天也都能见最多两个房东然后有些人可能还比如说搬家了或者他不愿意上平台然后所以
[01:02:52] 在去年的这个时候大概有四五百个房东我觉得起码第一阶段我知道有部分人愿意做这个事情然后房客在那个阶段大概有个不到五万人左右房客都是从你的小红书来的吗对 那个阶段就主要是靠小红书那很厉害了后面阶段就不靠小红书靠什么呢在靠用户互相推荐之前有一个阶段是在外网爆了两次在Twitter和在就在X和在Threads上面
[01:03:20] 我完全想象不到的事情脆好像是Instagram孵化的一个什么东西反正就是跟原来推特涨差不多吧对 涨差不多可能跟年轻一些用户然后在上面被用户推荐了两次然后蹭蹭蹭涨了十来万用户那个时候你的房东并没有很显著的增长但是你的用户要很多的增长但做平台就是这样做平台讲求叫什么动态平衡就是你得先涨一个水多了加面面多了加水对对 就这个道理然后那之后就开始去再额外又
[01:03:49] 就今年年初又到处跑去找了一波房东然后把房东做到1000个然后这个时候遇到三四月份的时候突然被微信推荐了就我以前都不知道微信有小程序推荐机制因为我们打开发现那个按钮你可能把大部分那个东西都是关了的你只留了朋友圈什么的可能但是还是有一些人没有关这些吧没有关然后上面留了一个类似叫小程序还是叫什么点进去然后要往下滑几屏点进旅游户外什么的然后再发现我
[01:04:17] 然后每一天会给我带来大概2万用户2万对每一天带来2万这么深的入口带来2万用户不愧是微信啊这样说然后那一次就带来了大概30万的用户但是听上去就是面和水的这个部分还是在供给端会更难做一点因为你不能一个供给对应一个需求一个供给是有365天的你是要乘以365去对应需求就是还有一点刚改的效应对它是有刚改效应的但还是要把供给做起来
[01:04:46] 早期的重点肯定是的对于做平台来说那现在比如说找供给的方法跟原来有差别吗最近这段时间因为我没有到处跑然后它每天都是自然增长那么七个八个的房东都是房东呼唤了一些别的朋友一起来做对或者他可能刷到小红书然后来问我能不能挂上来之类的就会比较自然的增长这里面我也好奇有没有房客和房东之间互相转化的例子
[01:05:11] 这个比例远比我想象的高我们现在有15%的房东是以前的房客转化的可能就是因为你说租的房子也可以往上挂吧他想了想确实是可以的他自己出去住了一遍之后他发现100多块钱好像能住到一个很不错的房间那相当于回来一看我这个房间也可以挂100多我也不错我也在市区的然后我后来听说你还搞了一个就是
[01:05:35] 品牌联名的策略然后把这个后来的规模又做得更大的这个部分可以跟大家讲一下我觉得是个很精彩的案例你可以讲细一点OK因为之前大家不都在新消费那段时间我也做过一些一段时间的投资然后
[01:05:49] 聊过很多的品牌创业然后这两年你再回头一看大家好像都有点要死不死大部分可能都已经不见了因为新消费他们那轮的增长其实是跟着平台的流量起来的平台本身是有流量扶持的意愿和策略的天猫和抖音的两个主要杠杆然后这之后你再看大家的品牌好像回到了某一种它应该有的状态就是大家慢慢地做一个产品然后规模可能不再追十亿八亿
[01:06:18] 我就做个几千万一两个亿然后我就好好活着就已经很好了然后但客观上我们又知道这个阶段其实是最好做品牌的时候类似有点像日本的90年代出现了很多的潮牌甚至出现了很多的设计师室内设计师也是那个年代因为这个阶段大家可能更希望就讨论一些形而上的话题更希望找到自己的反正都买不起讨论一些形而上的也可以讨论自己的群体然后
[01:06:43] 从以前你买完LV一定要买爱马仕变成现在我好像背个帆布袋也还可以代表了某种身份认知那这个时候就出来了更多其实我觉得比当时的品牌的叙事要更尖锐或者更理解自己是谁的这些品牌但大家因为渠道本身的杠杆的失去渠道还在上一代的一个问题对或者它没有那么多钱对没有那么多钱包括你现在有那么多钱你再去渠道你也得不到18年到22年那个效果那肯定你得不到但大家就
[01:07:12] 东西做的还不错但是好像没有更多的渠道可以去推广这个时候因为我以前在学酒店就很早就知道酒店里面的案例类似天梦之床不晓得听没听过这个这是什么威斯汀以前的那个睡的床叫天梦之床是美国的一个品牌叫Temper我知道那个牌子这个牌子曾经过的也不那么的好然后跟威斯汀合作然后把整个酒店的床垫换成了自己的就床品然后甚至有一些威斯汀曾经在那个
[01:07:40] 外滩那家威斯汀他还要把床摆在大堂里面就过来过往这个事情后来就好像是亚朵做过吧对亚朵现在就在做同样的事情就这样大家会知道你能进五星级酒店那你肯定是个好东西就是原来比如说我们在酒店里面我们其实不太关心他的所有的备品是什么牌子的
[01:07:59] 是这样但是后来就比如说在某些酒店里面开始出现就是说牌子本身在这个空间里面它有一定的销售的效果对因为酒店其实是大家忽略掉的一个渠道我们去商场逛街的时候你在商场里面的停留时间和动线是相对比较短和固定的然后你逛每个店的感受可能也是类似的但是住宿本身就是一个复合体验你待在这儿最少会待10到12个小时你会洗澡会住宿会吃饭会看电视你会做很多事情
[01:08:28] 你会跟非常多不同品类的商品打交道这里面我觉得比较这一代人现代比较知名的案例可能是Lelabo它在刚出现的时候一家纽约非常小的门店纽约每天可能要出现很多这样的品牌也没有人认识你是谁然后它的比较重要的合作渠道就是费尔蒙和百越它给这两家酒店提供了洗浴的套装甚至还做了一个当年做了很好看的那种随身带你用完可以带走
[01:08:55] 然后这里面跟百越的那一款22号就非常的火大家就觉得这个味道很棒然后你一闻到你一喷22号香水你就觉得这是百越的味道你就被所谓的品牌给附上能了就这么一个概念所以就基于这件事情我就觉得你住在别人家里面
[01:09:12] 本身就是一个非常复合的体验你会吃喝住然后用到很多不一样的东西然后这些品牌本身是可以被植入到这个场景里面来的这有点让我想到以前MUJI在北京做个酒店其实就是把所有的东西都放在里面然后让你觉得说这个东西确实能拼出一个酒店你看亚朵现在的零售收入已经是非常重要的亚朵只不过是把MUJI酒店这个部分反过来做对反过来做我自己是个酒店玩卖
[01:09:40] 所以我的第一个合作品牌是以前的好朋友那个叫唐岛他们做床上用品做枕头对因为第一个就想到他们因为亚朵卖枕头不是卖的很好吗然后我就是跟唐岛CEO说我说人家能卖的好的原因是因为人家有25万间客房我是真的睡完之后觉得好我才会把它买下来但你们不可能造这么多间酒店你只能去开线下店
[01:10:02] 你去开线下店你现在开酒店已经晚了你知道吗你拿不到楼了已经确实而且你放在那个线下店里面其实它那个试睡的体验跟你在真正床上睡一夜差别会非常大对你线下店就是大家摸一下就买嘛这个转化的肯定不如我睡三个晚上哪怕在宜家你卖枕头都不会像这个那么流畅的不会那么流畅的对
[01:10:21] 以前的酒店是卖月饼我觉得亚朵其实就把卖月饼变成了卖枕头全员一起卖枕头每年都有KPI的所以你证明了酒店这个场景本身的零售能力也是在线的所以我一开始去找类似像床上用品大家很快就理解了这个概念大家可太理解了这个东西因为大家也缺一些渠道做真实的用户的沟通然后和接触然后我们就送了一些房东枕头然后在旁边放了一个唐岛的小卡片来介绍他们
[01:10:49] 然后开始呢我们只想的是品牌方给个枕头换几篇小红书好像就是那种赞助KOL KOC的方式只不过是从赞助人变成赞助空间对赞助空间但这个博主这个房东也会发小红书赞助人和空间一起然后这个房东呢他赞助房东里面有些人的粉丝还过万
[01:11:08] 你只用了一个枕头就换到了这些好像也挺划得来但我们就一开始没有往后想了我们就觉得那线下就是房客看到就看到了体验就体验了问一嘴的时候就房东就介绍一下但没想到就两个月的时间就把他送我们的枕头20多个然后通过这20多个枕头我们又卖掉了20多个枕头然后相当于帮他们的成本收回来了就相当于线上的那些推广和线下未来一年多的免费曝光全部免费了
[01:11:36] 后来就用这样的案例去找更多的品牌就没想到我以为这是一个非常cold call的过程结果后来发现你去了几个大家都可以啊有趣我们想尝试是不是中国这个消费品牌还是太多了一点且核心是我不收钱主要就是纯置换是吧对纯置换我自己感觉反正我知道你这个过程我自己
[01:11:57] 最后感觉下来就是你拿一个东西最后换到一个很大的东西一路换一路换对这一路换下来的结果是就除了我们刚才说床上用品之外甚至有赞助的大米然后还会有一个自行车品牌要赞助自行车就是有一些房东有运动属性他想把这个自行车放在房间里面他还卖保险然后房客来骑然后香水香氛这就很惯常然后最近在送类似康普茶养生的茶饮然后送什么洗洁精沐浴露这都送
[01:12:26] 然后我一开始做这个事情的目的很简单就是我希望房东能够发小红书推广我但我直接去跟他说这件事好像没有什么立场为什么没有立场呢除了我跟他减免一点我说一开始我如果直接找房东说你能不能推荐一下我那我可能只能跟他说我少收你一点钱只有这一种方法但这个不长久的所以你就引入一个第三方说我送你个东西你能不能同时在小红书上推广他和我
[01:12:55] 大部分王东是接触就是你是蹭这些品牌的流量对就我自己平台蹭品牌流量第一次听说这样的呢我去蹭他们的这事在淘宝发生过很多次然后但这个事情里面我隐藏了一个
[01:13:10] 对于平台运营来说比较难受的点是因为大部分的房东他们都不是职业的都是兼职的所以非单是比较天然的一种心态非单意思就是在平台之外去做交易对他可能就会跟这个房客说你就不要在平台上付钱你就直接给我就好了转我支付宝咱们就绕过他但你也理解大家这个心态因为大家也不是职业经营这个事了那你为了让大家能够留在你的平台上面
[01:13:38] 你就多给大家送点东西你让大家一看这个月平台给我送了1000块钱的东西他只从我这挣了150算了这150我就给他竟然是用这种这个什么国企发米妹良油的心态来把人留下来的吗对来锁他们然后我送给他们的东西换他们那个小红书的笔记以外稍微贵一点的东西比如说像唐岛这样的枕头我还会再折价折到一半跟房东们换一下免费的住宿就比如说
[01:14:06] 之前我们送过石头科技的洗滌机那这个就很贵了一台2000多块钱我就折价跟大家说我折腾一半的价格1200我来兑换你的免费住几个晚上比如说你是免费住你是200块钱一晚我就给你换六个晚上然后这六个晚上呢我就会送给旅行博主然后博主们就去免费试住住完以后再推广我就是说到底就是为了推广你但是你要用别人的钱
[01:14:33] 你还是要用博主对就再怎么样也要投放然后这里面品牌房东和博主三个人都会发小红书来ant我推荐我
