Vol.205 我们研究了奥乐齐中国所有的商品，它到底便宜吗？
[00:35:02] 但是在实际购物的时候你没有办法说我这个河马NB的水饺我只买一半对吧所以说这个总价差异会比较明显所以呢我们把所有的商品在规格统一以后又算了一遍公平的版本统一以后我们就不看价格了只看这个差距的比值
[00:35:17] 结果也蛮有意思的就是相比于超值系列奥乐奇这个贵T的系列呢合计总价是贵了49.4%而河马NB的总价是便宜的是便宜了5.5%就相当于如果是超值系列是100块钱的话贵T就是149.4然后河马NB的话就是94.5那根据这个数字来看的话得出一个简单的结论就是不管是河马NB还是奥乐奇超值系列
[00:35:43] 粗略来说相比于一些比较高价的同类商品它等于是打了一个66折然后这两个便宜的系列就是河马MB和奥勒奇超值相比呢在3月20号这一天
[00:35:53] 前者还是更加便宜一些的一点点虽然这个数字会浮动但是基本可以验证我们前面说的这两个品牌在价格上面是非常贴身竞争的一个关系对这种对比还是比较重要的我们再简单阐释一下首先是第一组对比就是奥乐奇自家的超值系列和贵气产品我觉得在奥乐奇自己的角度来看这是他格外想凸显的一组对比就是你经常可以肉眼看到
[00:36:16] 相同的产品的不同系列是在货件上面并排摆放的所以这个价差冲击是很明显的甚至怀疑这是奥德西一个策略对而且它那个包装超值都是写的最显著最鲜明的那个地方就是让你知道我跟我自家的一些贵的东西相比我到底有多便宜我还能怎么捡其次就是河马NB和奥德西超值这个贴身竞价的确是贴身在竞价就我们在挑选这20种商品里面有8种商品在两边的价格是完全一致的一个数字都不差的
[00:36:44] 有一些商品比如说你要买啤酒和湿巾的话奥乐奇超值会更便宜一点如果说你要买鸡蛋和水饺的话那么河马NB更便宜一点这当中还有个特例就是常温奶常温奶就是奥乐奇的自由品牌做到了它的单位价格比超值系列还要再便宜前面提到了奥乐奇的优白的常温奶是澳大利亚进口的然后超值系列的常温奶就是本土的是新希望代工的因为我觉得常温奶这个事情还是相对来说比较特殊有可能澳大利亚牛奶
[00:37:14] 是真的成本足够低而且仔细去看澳大利亚牛奶是一大盒装的而新希望代工的是一小盒一小盒的跟包装是很相关的对这个其实没有办法完全的横比刚刚那个对比我觉得还是比较精彩的而且很少有人做这个功夫单纯的比价的部分要么先到这里我们接下来就是看一些别的还是看供应商和产地的问题从这20个商品的供应商的名气来看奥勒奇超值系列的水平是要略高于荷马NB的
[00:37:42] 这个举几个对比的例子就是比如说挂面和小麦粉奥勒奇超纸这里呢都是由一海家里帮忙生产的而河马NB呢是找了金沙河也是一个比较有名牌的但是会本土一点那卫生纸呢奥勒奇是选了中顺结柔河马NB是选择了一个叫做福建易发的厂子成本点倒是差不太多奥勒奇超纸是走了新希望然后河马NB是南进卫港就像我们前面说的只从供应上其实也不是说一定有个优劣产品质量上的优劣这不一定的只不过说这个
[00:38:11] 供应商的这个厂的大小是有区别的但是还是有一个问题就是前面的就是那个奥德西内部的横向对比这个是可以看出来很有意思一点就是柜踢的更好吗不柜踢的更差这也挺有意思的对就是但是
[00:38:26] 要说明就是这个供应商的名气和产品品质之间也不是什么直接相关的还是那一点就是比如说个人体感上就觉得说那个贵梯里面的扬州豹汁猪肉大包确实要比这个超值系列里面这个酱香大肉包更好吃一点嗯这两个我都买过但说实话吧我不太喜欢酱香的那个味道anyway就是我个人的事情不重要但是就是说你要不要为这种个人的品质上面认知或者你觉得这个品质上面差距支付更高的溢价这个也是见仁见智的问题
[00:38:54] 那最后我们再简单看一下产地就是还是这20种商品的话奥勒奇的超值系列会涉及到8个省份的产地比较远的包括了河南和湖北那贵梯系列呢是要扩展到8个省份以及一个海外产地就是澳大利亚就是那个常温南那河马NB呢是涉及到了7个省份最远是到了河北
[00:39:13] 嗯感觉这个部分其实没有什么特别的结论因为产地相比较于这个代工商他能提供的信息还是相对比较模糊一些对但是可以看到一点就是两家公司的代工厂是基本上完全不一样就非常非常那这个其实能够说明一点问题他们互相之间肯定是有一些竞争的在争取供应商的时候会有一些这方面条款的要求对另外就是看这个部分也能
[00:39:35] 有一种什么现代生活的隐喻感就是为了一些便捷的高消费的或者是一些新奇特的那种感觉这个背后要有多少资源跨越多少距离来为你服务
[00:39:45] 另外呢如果说奥拉契和和马雅比假设它是盈利的那这背后到底是一个什么样的盈利结构以及他们的代工厂又是用怎么样的成本结构来实现这个让利的其实是一个值得进一步挖掘的故事了
[00:39:59] 那关于奥乐奇中国的商品大调研的成果呢我们约老师就汇报到这里了不知道大家听下来感觉是怎么样可能已经被过多数字已经绕运了对我其实原来约老师列的数字还更多我们还是稍微精简了一些的我这边稍微总结一下我自己的一些感受吧第一个的话就是感觉得到确实在如今的经济形势下面便宜真的是商超的一个奥乐奇就像我们开头说的原本在中国市场走的是进口超市这样一个概念但是
[00:40:28] 后来被证明显然是一个弯路他现在靠的就是超值的系列回到了德国的老牌的便宜低价的这样一个路线上面才开始获得了现在这样一个影响力
[00:40:39] 第二个呢就是一个外国超市品牌其实在中国尤其在上海做本地化的话是要适应很多的规则就是他在中国做他德国那样的奥乐器实际上是挺难的比如说你要引进非常多的绿叶菜然后要找到很多本地的品牌来做联合的开发很多事情实际上没有先前的这个参照你是要从零开始的尤其是绿叶菜这个部分我怀疑这个对于奥乐器全球都是一个挑战哪里找这么多绿叶菜没有经验啊对包括我们也跟一些朋友聊到他们也会认为这个部分其实也是他从单一的城市扩展到别的城市
[00:41:08] 大的一个挑战和壁垒需要克服的一个
[00:41:10] 第三点的话就是讲到奥勒奇和河马NB在上海的竞争格局其实目前是咬得非常的紧的这对于河马来说其实是挺关键的因为我们知道河马现在其实在上海的话或者在很多城市都是聚焦在河马NB这个新的液态上面的因为它试了很多年的所谓的新零售那个带餐的部分或者大店的这个fancy的感觉就是没有起色对都已经pass掉了只有折扣模式是目前看起来唯一还是比较可行的路线就是在这个方面它其实可能比奥勒奇还要更急于证明自己
[00:41:40] 所以这真的是一个短兵相接的一个竞争另外还可以讨论一点就是奥勒奇在上海他所面临的这个消费者我觉得他可能是面临全国最挑剔的一个消费群体这个消费群体是什么样的他既要新鲜又要高品质还要低价格还要离家近或者送得快还要一直有新花样其实什么都要但从竞争角度来说奥勒奇在上海面临的竞争对手有太多了任何一个社区超市大卖场批发货源店生鲜电商
[00:42:07] 都挺像模像样的大家都在做类似的事情对尤其是你刚才讲的那些竞争的因素其实就算你只是做低价但是你在别的方面都要和别的来做比较消费者都会来选的比如说你的免费的免运价的起送费是多少你是59块9我是49块9我有可能就是选择后者区你平均能够送到我这边是30分钟而我是多少29分钟这些都会在比的虽然你不是一个业台但是大家都会来比所以说低价也不是说唯一的制胜因素
[00:42:34] 这其实跟TraderJones早期的情况也非常像早期TraderJones可以看到它只在一个区域就是南加州地区去开店因为创始人觉得是说只有那里才有比如说高校比较多然后中产年轻人比较多那对于说它的商品以及商品背后这个文化概念有辨识力的潜在消费者
[00:42:52] 基本上就集中在这个区域所以我只在这个区域开店但很长时间以后呢TraderJones才开始向全美的其他各州去拓展这个花了很长很长的时间那有些州目前也只有一两家TraderJones的门店所以说我觉得对于奥勒奇来说呢我们实际上应该把他目前在上海的成功以及他未来能不能在长三角以及更大范围里面成功划成两个阶段就是分开来看可能会比较好
[00:43:16] 这里呢我们可以回到大道至简的本书以及之前在节目里面提到的TraderJuice的创始人的那本专书就是平校之王这两本书这两本书一直会带来一些
[00:43:26] 困扰就是为什么一个超市品牌的早期和它现在的这个状况或者说本土和海外之间会有这么大的区别这个困扰其实就是来自于我们自身的体验和这书当中描述的这些内容对就简单说就是你看这些早期的企业传记或者对于这个企业早期的描述到底能不能帮助我去理解这个品牌现在的情况我觉得这个一直是很困扰我的因为我们节目其实经常会引用一些就是历史的著作对但是这个对于理解现在有没有帮助呢我觉得
[00:43:55] 这个问题答案可以说是yes and nono的部分很显著就是因为一个早期的理念它落到执行的阶段然后再加上不同市场的变量不同经济形势下的调整然后包括时间的影响其实这个变数已经非常非常多了但是如果在发展的过程当中品牌保留了一些不变的核心比如说像Audi这样它始终关心基本的需求始终关心高品质和低价格的话那么就还是有一些yes的部分可以去看的
[00:44:23] 想要避免克州球界的讨论和行动就要先正视所有的现实再去考虑它和过去之间的关系商业就是这样
