Vol.142 串台《晚点聊》：安利2023，挖坑2024
[00:37:50] 我觉得特别好一方面是人才的一个流动就是某一个行业的人才从手机转到了汽车这个其实背后是一个钱的流动就是因为谁有能力招这么多高技术的人才这个背后还是有很多财力和大的规划在的第二个就是就我感觉行业也就是在本身在变化就是一方面汽车行业吸收了很多手机行的人一方面手机行业在改变汽车行业就是很多的作风
[00:38:17] 或者说是对事情的判断包括一些面上我们能看到的开发布会的方式啊等等的越来越像手机行业对汽车消费电子化这个确实是最近挺有意思的变化嗯另外一个我觉得是不是也可以讲一讲你们这个美元基金那个题其实你刚才已经讲到一些一级市场对我们今年其实有两期节目是跟一级市场比较相关的吧今年一级市场的一个大的变化不过这事应该从2022年就开始了就是美元是一个颓势
[00:38:46] 不仅上市退出非常难
[00:39:12] 收并购作为IPO之外的另种退出方式
[00:39:39] 比如说承诺在某一年你要实现一个
[00:40:01] 庄明浩的那个屠龙之术是串台聊的然后当时我们家里面就直接摆了很多数据就是有回购的然后有这种连带责任的比例这几年是怎么变的那个节目大家有兴趣可以听一下其实那个是从创业者的角度去聊就是现在多难然后一级市场还有一个值得关注的就是我们今年还有一期是聊10月初的时候美国总统拜登他是出了一个行政命令
[00:40:25] 它限制美国的资本去投资中国的三个前沿领域包括AI量子计算
[00:40:52] 就是感觉反而这些非常重要的变化没有像前几年就是创投入那么火热的时候大家关注那么多但其实这个变化是非常非常剧烈的就可以说是一个时代的切换不管是就是国内的这些就从创业公司的角度还是从美元基金的角度其实都是非常大的一个切换但我感觉其实受关注的程度还比较少我感觉是属于你们后续还可以有跟进节目那种类型对其实我们编辑部有讨论应该写写这个钱的流动的大的变化
[00:41:21] 确实可能现在人力也不是很够吧而且我觉得有可能边界怎么来写也要考虑一下要仔细斟酌一下就是对你这个整个主题尺度的把握以及现在其实确实比较难采访因为当整个市场低迷的时候其实投资人也并不是特别愿意聊对有很多问题其实是包括刚才讲到的一些回购的协议等等的其实是很多年之前大家都会讨论的中国的这个一级市场
[00:41:46] 包括A轮的B轮的一些融资常见的一些问题吧或者说是和硅谷的这个不太一样的一些地方就这两年会明显的就是爆发出来变成一个真的要实际命令的问题我感觉还是蛮不一样的
[00:41:58] 不过我个人在这个事情上更感兴趣的可能一个小点吧因为这两年其实各地政府的钱进来都会更多就是作为LP主题介入的话我还个人蛮感兴趣就是说这些新的LP主题他们到底是怎么去想事情的我到现在好像没有看到特别好的报道也很期待晚点做一做那我感觉更难了更难踩了这个题是的但它确实是现在市场上重要的LP主题如果说对这个东西有覆盖的话会很有意思
[00:42:26] 这个我们可以分享一点点零星的信息有时候会和一些创始人聊到他们会讲一些因为今年确实可能你去找地方政府拿钱是很多人的选择比如说就是有创始人和我分享他去到某三四线城市然后看到的那个园区已经建得非常非常好了花了很多钱硬件条件非常好但里面没有什么公司然后这代表其中一种招商引资的心态就是当地的那个区其实非常着急需要在这个已经很好的硬件条件里面去填上公司的
[00:42:55] 但是这个时候你可能就要承担更大的风险
[00:43:21] 就他反而不是很愿意去投这种无形的东西他更愿意投这种有形的东西这是一类吧就是你当地可能已经建了很多硬件了你现在必须要有内容给填进来他会很着急然后另外就是像北京这种其实北京地方政府反而给不了你什么资源尤其是跟比如说先进制造相关如果有工厂啊什么这个北京其实是比较难给的长三角的话这一方面的优惠条件会多一些如果他们想做一些集群什么的
[00:43:48] 以及今天有一个小事让我感觉到了地方政府对招商引资的这种急切吧就是我们有一个系列叫汽车供应链新军就是写电动化和智能化到来之后一些新的供应商的变化和崛起然后其中有篇文章发了之后就有北方某省的一个地级市的某区经信委就联系到我们的记者然后我们记者都觉得非常受宠若惊因为他没有跟官员打过交道然后他觉得对方还是比较了解行业的而且态度也非常的好
[00:44:16] 最后是邀请他们有去当地去见面交流包括也去看了就当地的一些产业吧地方政府这个点确实是非常明显这个也跟我觉得2023年更加加剧的各地的招商引资的竞争有关系就我们也能看到有很多动作是之前有的比较大的或者说是比较强势的城市不太稀的做的一些事情但今年他们也都会去做
[00:44:42] 包括你刚刚讲长三角的话其实长三角不同的这个省市之间的在招商引资包括在做政府为主体的创投的时候的效果也很不一样那珠三角会更加不一样一点所以这个感觉是又一个题了就一级市场还是一个很大的领域对我觉得我们就是互相挖坑互相挖明年的坑对对对在晚点聊那期就是聊商业就是这样回顾一言的时候我们也挖了很多坑在这边给晚点聊给那个曼琪和汉阳也挖了很多坑
[00:45:09] 汉阳有什么就是觉得电话比较大的事件吗我相对感觉和曼琪比没有那么深是因为我做的很多内容当时做的时候讲的就是这玩意应该他尽量没有时效所以有时候我会对自己有要求就是说我讲的这个东西能不能以后还能被听而且因为我不是专业的记者所以我的确在这方面我不擅长就是一个新的热点出来跟尤其是我在跟晚点合作之后我一直知道记者那个活还是挺难的有时候说我写的一些主题是晚点记者不写的是因为这个东西他们写的我写不了
[00:45:38] 小红书出事我也想去跟一下但我没有那个能力去跟其实然后我觉得第一个有变化的其实就是小红书那期因为其实你说多久也就半年但小红书这半年发生的事可比上半年多多了虽然是先生做了一波投放引起大家关注结果关注之后最近就有这些舆情事件这个咱就不细聊了估计这个节目发的时候这事还没解决呢
[00:46:00] 包括觉得他们年终能够开一个就是能够投放商业化这些事情我觉得放在两年之前都很难想象小红树能够自我非常认可自己的商业化对这里边我可以找出一个判断给听众们听看到底一年之后什么样我这判断对不对这个完全没有在我们的节目里和文章里都没写这个事因为我觉得它是我的个人主观判断我不应该往上放就是
[00:46:23] 我在采访这些嘉宾的时候就这些小红书的博主们的时候有非常明确的感受就是他们做小红书的原因是因为小红书适合他们我文章中写一个点就是他们的生活和他们的内容是没有分界线的你像我做一个B站up主我要拍东西我今天是一个我得去拍点东西那个状态小红书的博主是他就真是这么生活的我就把这个展示给你看我最多就是剪一剪修一修但本质上我就这样的人把自己作为方法对所以这一点上就导致女翻小红书
[00:46:50] 他自己公司商业化做的不好和他博主做商业化容易是一体两面的事因为他的博主不需要背带货的KPI所以他们活着就很舒服就是我二三十万的腰部up主每个月接两三条小广子其实我活的特别好而我都是调性广告在这我职业跟购买转化没有那么相关我更擅长做这个事但假设真的是小公司商业化做的特别好然后这些博主比如要直播带货要对这些KPI负责的时候
[00:47:15] 我觉得现在小红书的非常多的博主其实不太擅长干这个事这不是他们擅长的领域一旦这个事小红书真的做成了有没有一种可能就反而是抖音和淘宝或者快手的大的头部主播反而更擅长干这个事他们来小红书占领了那个生态位但这个对小红书来说不一定是好事但就这个点我其实也跟小红书的人聊过因为文章写完之后公关肯定会来找我就聊一聊就他们有自己的看法觉得不太会发生他们有50%说服了我
[00:47:41] 但因为不是完全说服我所以我就不把那个答案放到这个节目里了但我是有一个自己的感觉就是小红书自己他公司的商业化做的难恰恰是他博主活着好的一个原因你说这个让我想到就是我的同学你的高中师姐就不说真名了就他在小红书上的名字叫海胆妈他应该是可能80万粉丝吧他还算挺大的一个博主他就一直挺佛系的因为十一我们一起出去玩了嘛
[00:48:06] 然后他就说小红书最近在推直播什么的但他一直都没有决定说要去做直播这件事情因为他觉得那个对他来说太累了那可能不是他正常的就你刚刚说的可能不是他平时的那种生活状态的一个东西这个会跟bilibili有那么一点点像但是没有bilibili那么极端就是这个up主或者博主的这个工作方式的切换的问题因为投入产出的感觉不一样吧对还是不一样包括这个社区的氛围还是不一样的
[00:48:35] 对我明年再写估计就会写小红书直播的事因为小红书直播可能和其他的不太一样他们至少试图做到不一样就为了解决这个问题但可能那是24年的事了然后另外一个有变化或者说没有变化让我们很意外的事就是我们晚点聊的早期节目中录过一期我在朝鲜开万事屋就请的是一哥们在平壤住过很久我当时之所以跟他录节目他跟我说他知道怎么在平壤买到避孕套我说那你这得聊一聊然后
[00:49:02] 这个关系挺好他是一个公众号叫印朝鲜的主编然后我就把他拉来聊节目了然后当时他们一个大业务一个是卖丹东草莓另外一个是带朝鲜旅游但朝鲜旅游因为疫情期间关了所以就只能卖天降伟人丹东草莓了他每篇文章都要玩这个梗然后每篇文章底下都有评论问怎么还不开放旅游就有各种小道消息说要开放要开放然后当时我们俩
[00:49:24] 21年录的时候就说这个可能还有一年的时间但现在已经两年过去了这个事还没有变化还是做不了朝鲜旅游朝鲜还是没有正式对外开放就开放你作为游客过去所以这点是没想到的就没想到这个事能持续这么久但我们都觉得24年应该会开放了但不好说这个事如果开放的话我一定找他再录一起哇这个点确实对没想到这个点还有一个其实我们的邻国我们也非常熟悉的一个地方到现在还没有
[00:49:53] 完全打开这可以补充一个点其实这样这个事最发愁的人还不是做旅游的做旅游的他还能做些别的贸易因为贸易其实没有停最愁的是那些朝鲜驻外的外交官们对因为他们我当时想说他们在中国活的也不差为什么着急回去他说其实他们特别着急因为你一旦不在国内你就不在国内里面的政治环境里面了你就会被排挤出来了你不知道在发生什么动向
[00:50:19] 对因为它那个封闭不光对外封闭对他自己人在外面的也封闭也不知道咋个事你要脱节了它是物理和信息上全都封闭了对可能对他们来说封闭的没有那么多但是也不是一个透明的环境所以对于这些驻外的政府官员来说他们需要回到那个环境里面才能让自己不被排出来你让人一两年回不去对他们来说影响特别着急其实有点像日本的公司外派的人希望还是能够
[00:50:44] 回到总部的那种感觉我觉得有点类似朝鲜这个点确实没有想到但我觉得这个也是非常稀缺的一个视角虽然不是今年节目但是很有意思我希望24年能跟他在朝鲜录一期节目当年我俩是这么说的但是现在也没有时间可以祝你成功注意安全祝你安全朝鲜挺安全的除非发生一些不可控的事那就不是我说了算的
[00:51:08] OK那要不我们就进入最后一个问题就是从个人的角度2023年录了哪期节目然后这个节目本身对你自己会有一些影响的
[00:51:18] OK我先说吧一个就是OPPO终止造星那一期我觉得这个主要是形式上因为这一次没有邀请嘉宾是晚点的同事之间自己录的我觉得是你大概就是知道如果我们自己录的话是一个什么样的流程虽然在此之后并没有有机会实践第二次因为就我很难拉到别的记者不过我觉得你大概知道这个事情是怎么做就建立了一个初步的认知和信心这是一个影响
[00:51:45] 然后另外有一个非常实惠的影响就是刚才汉阳不是说小红书有两期半吗那其中有半期就是我们和一个前金融精英然后现在他是小红书上的一个搞笑博主叫False Bro但他是个女生啊他叫False Bro很有名他会做各种金融梗图什么的就有一次是我们跟他聊的聊他的整个就是自己职业的变化呀然后选择什么的
[00:52:10] 聊完之后呢他有送我一个他自己做的周边产品这个在小红书他自己的商铺里有卖是叫SVB亿元存款纪念就是SVB对我解释一下SVB就是硅谷银行然后因为今年出了也算是一个重要的商业事件吧硅谷银行这个爆雷了
[00:52:28] 然后他曾经是在硅谷很多创业公司包括很多中国的VIE结构的创业公司都会选择把自己的钱存到这家银行同时这家银行有一个算是开创的一种产品就是债权融资因为你可以不用出让你的股权是专门服务这个创业公司的对创业公司来说是比较友好的一种方式它是在整个创投圈不管是投资机构还是创业公司里都非常受欢迎的一个银行然后它的爆雷就导致有很多比如说一些美元机构的过桥的钱可能还在里面
[00:52:56] 或者一些创业公司VIE的钱他没有转到国内的他还在里面当时就有很多人受影响所以这个帆布袋我觉得是有非常怎么说了黑色幽默但是你又要理解一下才能get到对我觉得很有意思就是一个深埋的梗带出去如果有人能够认出来的话会很有意思的一个东西然后十一假期的时候就背着他出国旅游真的非常能装笑死了
[00:53:23] 可以我觉得就是带到国外之后更加有效果一点对能装这是两个意思的都能装对我有时候两个一个是我们晚点聊有一个是讲水坝的一个系列
[00:53:34] 就讲在水坝和在非洲建大坝什么一堆事然后其实第一期是一个我的单口它原本是一个文章后来那个文章因为过了时间就发不出来这刚才聊的那个事所以把它变成一个单口的节目了但那个其实变得不是很成功是因为它是个真的纯文字然后我要把它想办法变成一个音频更多其实就是在念稿我其实感觉也不应该总做这种事偶尔可能做一次行我要插播一下这一期是我个人第一次听到晚点聊的就是节目
[00:54:01] 然后因为我平时在小有助上收听的话我节目会调到1.1或者1.2倍速嘛然后那期就是自然打开来之后就是这个语速然后汉阳他自带1.5倍速然后我是真的没有听清楚一开始没有听出他在讲中文听力测试对对对中文听力测试然后之后我就把晚点聊这档节目的这个倍速调到了0.8应该是0.8
[00:54:25] 我今年的目标是说话慢反正你在这期节目里边好像没有实现那期节目是很多人第一次意识到小宇宙还有0.8倍速播放这个功能然后那期节目特别有意思就是它发出去之后因为它跟一些实事事件是有关的然后但当时也过时效了就是收听量就是一个标准的收听量突然有一天就开始暴增就这是暴增然后后来又突然有一天小宇宙推荐了隔了好久之后所以在很长一段时间里面水坝那期节目是晚点播放量最高的节目
[00:54:52] 就半点聊这个系列就看着其貌不扬的一个也不长的节目然后还是单口的但播放量特别高因为我往里面还插图了就后来发现那个图的外链坏了其貌不扬对真的是其貌不扬当时我就想说我那个嘉宾我采访的时候他人在非洲我俩打了一小时电话断了好几次线然后中间有一次还遇到条蛇说你回国的时候咱们录一期所以回国的时候我俩就出门我俩总开车出去溜达就说咱就录一期当然特别累就说那就说录不录我说那还是录反正两瓶啤酒喝完就结束
[00:55:22] 然后录完之后反响也挺好的但大家都觉得那期短说那咱们再来一期所以就今年下半年时候又跟他他回国考试的时候又录了一期然后一共录了三期关于非洲水坝中国水坝的故事然后那个就给了我一个特别深的感觉就是有些这种节目就你不能强求它特别完美你不能强求它你有特别好的时间嘉宾什么都好但是当那种嘉宾出现在你面前的时候你就应该抓住就去聊不要指望说等到一个什么好的时机再去录就是有时机你作为一个主播就是应该赶快抓住大不了不发呗
[00:55:51] 那个给我印象特别深因为我发现就现在事后来看就我做播客这几年一些我自己特别喜欢的节目都来自于这种体验就是你别管但是你有代价代价就是很多时候这种节目你会觉得大家觉得你录的随意录的慢或者声音甚至音质不太好这个我尽量保证音质好所以我出门现在都带着麦克但有的时候为了这个取舍你还是值得我觉得因为你的下限是靠你的准备保证的但上限这个事当你抛弃了下限的时候上限可以变得更高一些对所以我一直感觉我
[00:56:19] 作为播客的使命是尽量拉低中文播客节的下限所以我的另外一档节目我们就主打一个不剪辑不将造八个人用一只麦克聊对所以把那个的经验拿过来然后把那个去期糟粕留期精华留期精华放到外面聊里面弹压是怎么回事然后另外一个对我自己影响特别大的一个节目不能说影响特别大吧但是挺有意思一个节目是那个我们聊拆GPT那期我和仲清还有李如一聊反正很大是我们节目争议最大的一期
[00:56:47] 然后他就让我意识到就我不在乎这事我以前不太敢录有争议的节目我就觉得就大家骂我咋办或者说就是这个事有人不同意怎么办汉阳我觉得你有可能先要跟大家讲一下你跟李如依和仲青聊ChatGPT聊了些什么就我我是主持嘛其实我不是主力输出的但是我在村的他俩往外输出一些东西他们其实主要就是在说ChatGPT对于创作的影响
[00:57:11] 这个事核心观点就是很多人认为拆GPT能做脏活累活然后创作者做剩下的创意性工作那个节目的核心话题就是没有所谓的脏活累活对于创作来说脏活累活是你创作的一部分就比如咱们要做一期节目然后咱们看了十本书然后发现前五本白看了但是这个白看里面你是得到了一些东西的你可能不知道这东西对你最终的结果有什么影响但你不能说这东西是没用的脏活累活你要抛走因为咱们做创作都知道那就是创作的一部分甚至那是创作本身
[00:57:38] 创作本身不是那个结果是那个过程所以就在聊这个事但是因为当时拆GPT特别火就是很少有节目愿意花特别多时间聊拆GPT哪不行然后尤其是两个嘉宾他俩不是科技行业的从业者就会陷入有人说就俩文科生或者说三个文科生聊创业聊拆GPT聊自己不懂的东西有点太这个恬不知耻了然后对主播屈昧了有人会留这种评论我觉得这个是现在科技的话题常见的一个批评就是觉得你
[00:58:07] 不是干这行的你凭什么来聊尤其是人工智能这个我觉得是对于新闻媒体一个常见的批评吧对但是我这边要抱言输出一下我觉得越是这种和大家息息相关的科技话题越是要有不懂的人来聊就是不懂的人来聊的这个内容应该越多因为这个跟你的日常生活相关对而且当我们说比如编程是个技术做AI是个技术画画是个技术那你得承认就是写东西采访创作也是个技术
[00:58:35] 就为什么那个技术就有专家这个技术就没有专家了这个技术就必须靠别的行业的专家来吗但那期我就一直要一直就是点评这个事对影响没那么大所以我可能敢于以后做更多有争议性的节目就想开了对但就说回这个事就那期节目上有一点感觉特别有意思的事情是我特意没有在节目中说我任何的个人背景因为我是做AI的这么多年一直在干这个事我不太认为在做播客的听众和主播里面有什么人绝对他能说他在AI这个行业的经验比我更多
[00:59:03] 因为我是一直在干这个行这么多年但当时我做节目的时候想我说这也太自恋了你做节目之前难道还要特东亚的做其他的方法把自己的履历全说一遍再聊这个节目结果做完之后就一堆人就说说你就是这个人没有人干过这事不懂这个事然后有人说我没有做过调查就不点名了
[00:59:21] 有一个记者就写了对长串骂这个文章然后在推特上然后最后他的结论是我们这期节目没做好的一个原因是没有读过他写的一篇文章咱不能这么自恋吧就是我没做好一节目的原因是因为我没读你文章不至于吧而且我当时特别想回他一句就是我说如果你真觉得你应该做调查如果你觉得我们没有做调查那你应该先调查一下这仨主播啥背景
[00:59:41] 你但凡做点调查就知道我是干这行的我并不是一个局外人来说这个事所以东亚的太东亚了人性的太人性了过于东亚所以我有时候就在想我做节目有些事比如说不聊不说其实默认是因为听众已经跟我们很熟了但有时候是不是不应该有这种默认有时候你是不是还是得从头到尾的把自己讲一遍然后说一下自己的全流程再把那个结果推导出来
[01:00:03] 这样很多就是你的非固定听众听的节目他能对你有一个更深的了解我也没想好因为我觉得说这事实在是有点啰嗦而且你的听众也不喜欢但有的时候面对这种问题你也会想是不是当时多说两句好了
[01:00:15] 汉阳刚讲这个事情让我会想到一件事情就是播客和节目的关系我经常也会在商业就是这样或者说是我个人的就是和朋友做的边角聊里边经常会看到一类评论就是人家会觉得你是一个节目所以你比如说主播的声音得要好或者说你的普通话要标准或者说你对于某某的表达应该是要非常的客观没有这个个人的情感但是我一直还是觉得播客还是比较像blog还是比较像博客
[01:00:44] 一方面是因为就是我们大多数书内容还是没有付费啊没有花钱的话其实就没有太多提要求的空间这说的有可能有点冒犯第二点的话我觉得就是声音这个内容的形式还是会和文字不太一样就是它就算是我们在旧诗论诗讨论一些事情比如说汉阳女和众青和吕如依来对于ChadGBT大放厥词但我觉得大放厥词是一个在音频里面比文字里面更加有魅力或者更加能实现的一个东西
[01:01:12] 就是即使是我们在聊一个非常严肃或者说是门槛比较高或者说是有一些技术背景才能讲的一件事情但是就是观点情绪还是很重要的这个商业积蓄量里面可能会比较少但是我们其实也不排斥就如果听友们觉得可以的话我们以后也可以多一点个人的情绪对祝大家都能摆脱东亚大放厥词我只想要情绪价值
[01:01:34] 对有的时候讲的是事情但是获得的是情绪的价值或者说是反过来你表达的很多是情绪但是其实你提供了非常多信息或者说是逻辑上的增量对于听这个节目的人来说我觉得两个都是需要的对其实我自己也是有时候会听到一些很强的态度我会觉得挺好玩的播客里面你的语气语调其实也是有信息量的潜移默化的它会有一些无形的信息量确实
[01:01:59] 这个就是比较有意思的东西就算是念竹子稿也是有不同的念法我就属于念的不好就是所见所闻的主播景璐有一次和我说他认识我这么多年我有10%的话他始终听不懂我在说什么但我觉得你能够在这个语奏下面如此口齿清晰已经是非常厉害的一件事情了这让我想到那个克拉克森农场里面就是一个农民的爸爸他就是讲的一切话都没有听懂但他们一直在交流就是这位让我意识到英语可以没有语法
[01:02:25] 所以你要相信人和人之间总是能互相理解的就是语言不同无所谓非洲那期节目有讲到这个对吧对确实怎么都可以交流这边还是非常推荐大家可以听一下晚点聊汉阳来讲述丰泽在非洲的经历以及和丰泽对谈那个东西因为我觉得丰泽这个嘉宾也是中文的播客的内容里面非常稀有的他能讲的东西和他的表达方式有可能是别的地方听不到的
[01:02:51] 而且他好像也就是在你们做了那个节目之后还是之前因为是一篇就是文字的一个报道还很红了是吧他是上古网红啊他当年在最后就很红对然后那个是我俩当时让我录那个节目的第三天他去演的那个讲准确来说我俩那期音频节目就是那个文字的播客版本然后讲了一些那个现场没法聊的事但那文字现在你可能得换个渠道找了那个原本发的号把那个文章给删了真的非常推荐可以听一下
[01:03:20] OK那我们就刚才聊的四个问题来帮大家回顾一下晚点聊过去年的节目这个过程就差不多结束了就是四个问题是这个节目是怎么来的然后有什么节目是想做没有做的有什么节目是做完了之后事件本身发生了变化的以及有什么节目是对个人产生很多影响的我自己感觉还是聊得非常开心的就是有很多商业来的话题我觉得多少有点惺惺相惜吧
[01:03:47] 有很多关注的东西我们是比较重合的
[01:04:15] 感想吧就其实前面也提到了就是好奇心这件事情我觉得对于就是我们这个行当的从业者来说还是特别重要的一个特质吧因为在这个真实的商业社会中其实单单有好奇心也是不够的就是你要把这个好奇心执行下去然后能够最后产出一个东西就我们所谓的交付出来嘛才能够真正的获得尊重
[01:04:38] 今年我们在交付上可能做的也没有特别好希望明年也能继续努力外部条件瞬息万变很多时候必须要抓紧时间和机会而机会往往留给最有准备的人商业就是这样感谢收听这一期的商业就是这样你可以在各大播客平台收听我们的节目如果喜欢我们可以在苹果播客内点击关注也可以在小宇宙平台跟我们打赏就会对我们很有帮助期待你在各个平台与我们交流下期见
