Vol.235 拼好饭，便宜了谁？
[00:32:47] 对于拼好饭的上面来说它不存在说我只有一个大单品因为我有好多个大单品对吧它不存在一个就是吃腻或者说是被淘汰的这样一个问题铁打的拼好饭轮换的供应商那话说回来其实从这几年美团的布局来看它这个就是要掌控整个餐饮供应链这个趋势本来就是越来越明显的就与拼好饭遥相呼应的一个规划或者一个项目就叫做浣熊食堂浣熊食堂是做什么的就是美团自己经营的一个外卖美食城就是外卖集合店
[00:33:16] 就是各个品牌都会在这边有一个外卖的一个小的一个档口吧然后你可以集中的点餐送餐就消费者我在这个换城市场里面我可以点不同品牌的什么咖啡啊奶茶啊这个饭啊那个面啊
[00:33:27] 一起点就像那种就是大时代但只不过你是远程的这种概念感觉跟拼好饭就是又天然可以衔接在一起了但这个我不要说明一下就目前没有看到说浣熊食堂就直接开始做拼好饭这个还没有看到明确的消息可能是两个不同的业务部门在做的但是从整体来看的话你可以看到美团正在从一个本来单纯的撮合外卖交易的这样一个平台就现成为一个垂直整合整个餐饮产业内的一个大的公司那在这个过程当中
[00:33:55] 餐厅自己的发展空间必然是被压缩的其实说起来拼好饭这条做法真的很新吗好像也没有就是消除品牌保持基本的餐品的品质然后高碳水的单品为主这个不就是食堂吗只不过食堂是线下的不是一个远程对食堂就是线下的拼好饭就是这么回事刚讲到的浣熊食堂就会想到这个点讲到这里其实我们
[00:34:21] 最后就想稍微岔开来讨论一些
[00:34:50] 中餐实际上是最不适合远距离配送的菜系之一就大多数的中餐在远距离配送之后它的口味都会大大的下降色香味巨无是的但是中国却是一个外卖最发达的一个市场这里面的一个核心的问题是为什么会有这样的一个矛盾或者一个局面的话最大的问题有可能不是在餐饮业而是在城市
[00:35:12] 就现在其实城市的高速发展是大大的形塑了当下餐饮业的我们看到这各种各样的局面吧一方面人们自己做菜的时间和空间被压缩了上班对吧所以外卖有了需求另外一方面呢餐厅的这个空间也被大大的压缩和集中了大家都集中到一个商业综合体里边并且呢被不断推高的这个房租啊等等的给绑定就使得他们需要外卖来扩大自己的客源扩大自己的流水
[00:35:37] 嗯其实过去餐厅还是一个有明确的服务半径的一个线下的生意而中餐也是一个非常讲究当下当时炒出来就吃了一个菜系正好我最近去了一趟江西啊就是对于江西这个地方我印象非常非常深的一点就是那边稍微有一点名气的餐厅他可能都不上外卖平台他就是线下去炒的然后他们那个菜是都是写在小黑板上的就是每天什么新鲜菜都会
[00:36:01] 持续的去更新甚至呢很多时候你点菜要走进他们的后厨站在他们的冰柜前只是说我要吃这个这个整个体验对我来说是非常震撼这是一个非常前现代的体验但其实这是一个过去人们吃外食的一个基本的操作或者一个能力就是你自己去选择一个餐厅选择你要吃的菜的这样一个能力但在现在这个时候大家有可能会觉得这个能力已经逐渐的消失或者是弱化了
[00:36:27] 这个当中的本质其实就是远距离这件事情远距离配送这件事情使得在你吃饭
[00:36:53] 在这个平衡当中呢所有人都没有很快乐很满意但所有人都继续活下去
[00:37:21] 直到旧的平衡被打破新的平衡又建立商业就是这样
