Vol.98 串台《边角聊》：吉列如何把剃须变成全球大生意
[00:34:47] 而且在瞄准吉列之前呢他已经通过杠杆收购买下了著名的一个化妆品集团就是路华农而他收购吉列呢主要就是通过路华农这个平台来实现的顺便说一下最近路华农已经又开始申请破产保护了对现在这个路华农这个CEO就是这个佩雷尔曼的女儿还是个家族企业对虽然他买进卖出很多个公司但是他对路华农还是一直持有的
[00:35:10] 那当时呢陆黄东还是一个化妆品产业界的一个巨头了然后在这个11月13日之后第二天佩雷尔曼就在纽约时报和华尔街日报上面刊登广告公布了一个自己的对吉列的一个收购的邀约说自己将会花每股65美元总计41亿美元的这个价格把吉列剩余的股份都买下来
[00:35:30] 然后根据这个规定就是方案提出后10天吉列必须要做出个回应的就是我到底是接受还是拒绝提出另一个方案看了一下当时佩雷尔曼手上已经有吉列13.5%的股权已经成为了他的最大单一股东而吉列接下来的三大机构股东加在一起这个总股权才只有6.4%所以说分散的股权结构真的很容易被利用没错
[00:35:54] 那吉列这一边呢其实管理层基本上是用了当时能用的所有手段来阻止这次收购了佩雷尔曼这个名声在外嘛被他买下的公司很快就会这个资产就会被卖掉然后呢管理层基本上都会被清出去所以他们真的是很抵抗这件事情的在接下来十天里面呢双方其实有非常多的这个细节的攻防战像吉列这边呢他在早前1985年的时候就预先设置这个读完计划因为他知道自己容易被攻击啊
[00:36:22] 然后当佩雷尔曼出现之后呢他们还搞了很多公关战和一些法律战主要就是指责这个佩雷尔曼他违反了一些金融的规定并且自己这个人啊他的财务状况不稳定其实这些都是一些展示这个强硬姿态的一种方式嘛让你知难而退
[00:36:38] 后来在这一系列的动作之后佩雷尔曼就松口了然后双方在1987年达成一个协议吉列其实是回购了他手中已有的13.5%的股权同时这个也是有一定的溢价了等于是给了佩雷尔曼一些的利润但是他自己也就放弃了收购整个公司的这样一个计划其实对于恶意收购者来说见好就收就是一个挺好的结局了因为恶意收购就是最怕是脱
[00:37:04] 因为他们资金成本随着时间推一般来说是越来越高的对当时他们都是发行那种垃圾债券那个利息是很高的不过在那个之后佩雷尔曼或者是路华农还不死心他又连续两次向吉列提出了收购的邀约但是吉列都没有答应
[00:37:20] 后来这个佩雷尔曼呢他就算是死心了就是对吉列已经放弃了但是到了1988年呢第四波的这个恶意收购又来了这次呢换了一个主角也换了一个形式就是一个叫康尼斯顿的公司啊他买下了吉列5.9%的一个股权然后他发动了一个代理人的战争就是我现在也是个马达的股东了然后我要求召开股东大会改选董事会然后呢自己提名了四位董事这其实就不是所谓恶意收购这比较接近于激进投资者一个策略对的
[00:37:49] 然后他们的背后呢其实占着很多大股东的一个意向就是我们刚刚讲到的很多大的股东其实对于管理层现在的这个经营状况是不是很满意的他们希望这个公司能够产生更多的分红和一些收益但是另外一方面呢吉列当时有35%的这个股权是在一些小的股东手里面的这些小股东大多是吉列的员工或者说是退休的员工他们呢是非常坚持吉列要保持独立的
[00:38:15] 最后呢经过很多台面上台面下的这个激烈交锋啊在股东大会上面呢那些大股东呢大多数都保持了沉默没有参与投票而小股东呢就是积极的投票他们主要都是支持管理层最后这个股东大会呢是以52%对48%一个微弱的优势啊就是这个康尼斯顿这个计划被管理层给否决了当然他们双方还是达成了一个协议就是吉列回购了股票然后康尼斯顿呢保证三年内不再发起对吉列的一个收购
[00:38:44] 小结一下就是从1986年到1988年吉列这个分散的股权架构还有他疲软的股价表现就让他被一些恶意收购者包括一些基因投资者盯上但是呢他想尽办法最终还是保持了管理层对于公司的掌控对的那么我就有个问题就是在这个时间段内吉列自身的这个经营有没有什么提升呢其实在这个收购邀约的刺激下面吉列自身的经营是有改善的
[00:39:10] 因为很多OE收购者他这个想法其实不无道理嘛就是你的这个多元化经营看上去不是很成功那你是不是应该聚焦主业呀以及你这个T区的刀的这个业务这么强势为什么这个利润水平不能更高呢是不是你经营上出了一些问题
[00:39:25] 所以吉列在这段时间呢其实做了很多的这个改善它的管理层啊就分成了A比2队这A队呢就是专门硬队收购B队呢就是做好全球的这个经营大家听一听就是为了硬队收购可以专门分出一队管理层对的感觉是一个主内一个主外是吧结果到了1989年的时候呢这个吉列财务状况确实是改善了不少的举两个例子
[00:39:49] 一个呢它的经营费用啊对收入的占比呢是从83年的64%下降到89年的41.2%就你日常的这个开销也降了很多了嗯另外呢就比如它存货周转率也降低了就是它这个经营效率还是提升了蛮多的
[00:40:03] 那某种程度上其实可以把这波收购潮看作是一次所谓的病毒感染吧它激发了吉列自身的免疫力是有点这个意思那从长远来看呢吉列其实一直是一个免疫力还蛮强的公司它生病的次数不少的我们前面提到过很多次但它每次都能自愈
[00:40:21] 当然啊这个你老是感染这个收购或者是被收购病毒总会不是个事所以在1988年的时候吉列就给自己打了一针疫苗彻底的解决这个老是被邀约收购的这个问题那这针疫苗呢就是巴菲特
[00:40:37] 巴菲特他是在1988年的时候投资了6亿美元买下了吉列公司8.75%的股份之后他一直持有直到2005年吉列被保洁收购了之后这些股份又转成了保洁的股份吉列也是巴菲特经典的投资案例之一他自己也非常喜欢这家公司可能把他和他的手上另一个很好的资产就是可口可乐相提并论这两个公司就是最典型的巴菲特式好资产他们都有遍及全球的大众产品
[00:41:05] 这个产品本身市场参与率很高而且有很深的护城河长期的经营状况也是比较好的这里边我自己有个感觉就是其实那些恶意收购的人也知道吉列是个好资产但是他们眼里的这个好其实是指吉列它被低估了所以我可以买进然后卖出赚这个差价而巴菲特眼里这个好是指它长期都是一门赚钱的好生意所以我愿意长期持有
[00:41:30] 我觉得从投资角度来说这只是不同的出发点和赚钱的方式但从吉利的角度来说巴菲特显然是一个能够支持我长期经营战略的一个白衣骑士其实在那个之后吉利在21世纪初也曾经遭遇过大公司病就是公司比较臃肿效率低下然后又带来过夜急下滑但是后来又有一位新的CEO空降叫吉尔茨吉尔茨带领下吉利开始缩减成本重新开始走强
[00:41:57] 这部分故事呢就可以看杰尔茨自己写的一本著作叫做《刀锋上的舞蹈》然后等到了2005年在业绩高点的时候保洁就以570亿美元的高价把吉列整个收购了这样百年老店就结束了自己作为一个独立公司的历程
[00:42:12] 值得一提的是啊就当时这个收购虽然业界的评价还是蛮高的但是吉列他在那个波士顿总部啊很多老员工甚至是波士顿这个城市对此非常的不满因为他们觉得这个管理层啊是在卖掉当地的一个珍贵的资产你看那个时候的波士顿其实商业上面尤其是那种传统的制造业已经少了很多了但是管理层呢是坚持的任务其实当时就是吉尔茨他坚持的任务也保洁的这个收购啊能够第一给股东带来丰厚的回报第二呢也能帮助吉列这个品牌的发展
[00:42:42] 尤其是它在全球这个非常强大的销售和营销的网络能够帮助吉列走进更多的这个市场然后提升这些新市场的占有率这个吉尔茨举了一个特别的例子就是中国市场这点还是蛮有意思就相当于到了最后吉列的这个管理层还在遵循这个创始人金恩吉列的设想他开始做坚定的全球化然后为了把T恤刀卖到世界每个角落他甚至不惜把自己卖身给暴杰对
[00:43:07] 那从商业的角度呢吉列的故事我们就讲到这里其实还有非常多的细节大家就可以看我们圣诺斯里面两本书和很多的资料
[00:43:15] 那最后的最后我们还想从社会文化和品牌的角度来聊一聊现在吉列这个品牌遭遇的一些挑战第一个呢就是我们刚讲到这个全球化虽然有很多的好处但其实吉列在进入新市场尤其是一些发展中地区的时候还是会有很多麻烦的比如说有的时候是地方政府的一些本地的保护还有呢就是一些消费和文化的差异比如说你可以去看看这个吉列进入印度的一个例子
[00:43:41] 他花了很大的功夫才让当地这个印度人就因为印度还是很多朋友习惯于叙叙的要让他们能够学会用剃须刀然后还要买这个其实对他们来说不便宜的这个东西其实花了很大的功夫还有一个例子就是在伊朗本来伊朗是集的一个重要的一个生产基地但是因为当地巨大的一个社会变革吧所以他不得不放弃这样一个基地
[00:44:02] 其实对吉利也是很大的一个损失感觉在现在或者说短期的未来这个全球化问题还会更加凸显你们只要去看看吉利现在的一些工厂的分布你会发觉它事实还是蛮多挑战的除了全球化以外另外一个我们想讨论的其实是社会文化的一个转向
[00:44:19] 长久以来我们前面也一直强调就吉列是把自己和传统的这种男性气概绑定在一起的但是现在看来呢就有的传播可能是怎么说缺乏性别意识吧甚至是有一些油腻有可能会产生各种各样的问题所以呢吉列动了一些烦恼这个事情然后他就想办法要找补就是让自己能够适应这个新的时代结果越找补越黑是吧对对对这个问题反正沙老师可以聊一聊这个有个蛮经典的一个事件的
[00:44:46] 主要是在2019年的时候当时吉列发布了一条新的一个产品形象的广告和企业形象的广告对就是那种看上去不像广告那种公益对对对公益偏适的广告当时这个广告的名字叫做我们相信We believe the best man can be因为best man can be是吉列的传统的一个slogan对就是它是用了几十年的这样一个广告语然后当时吉列宣称这个广告的来源来自于当时如火如荼的Me Too运动
[00:45:13] 然后也是抨击了所谓错误的男性气概然后整个广告里面也涉及到所谓的校园霸凌职场性骚扰性别刻板印象等等一系列主题这只广告在上线的48小时以内就是在油管上面就获得了超过2000万的点击那还是蛮好的然后瞬间就是引爆了就是美国的社会舆论就是大家就吵成一片相当多的人会抨击这个广告
[00:45:38] 就是说虽然他点击量很高但是他的按导赞的数目也非常高惊人的高黑红是吧黑红就是说是因为当时很多人就批评这个的广告就是说似乎是在暗示吉利的传统用户都有放任霸凌性骚扰这样的臭毛病感觉你就是对着你的传统用户竖起一个中指然后说我来教你们做人就是说这种感觉知道当时有一些社交的一些媒体咨询机构也曾经这样评价过他说
[00:46:03] 最不喜欢吉利这套广告的恰恰是T恤的核心人所以说这个事情就在美国引发了一个社会舆论对我们还看到一种批评就是有人就是说你吉利这个跨国的大公司对吧你做的这个不太好的事情可不少然后现在你在这边教我们要什么做更好的这个男的对吧好像也缺乏一点资格是
[00:46:23] 所以说现在品牌做这种广告还是要当心再当心说实话就是尽量不要做可能是最好的选择对但是我又想想看如果你这个公司你一直不做到时候也要被人家扒出来说你这个吉利一直代表男性气概的现在你出了MeToo运动之后你就闷声不说对那你是不是跟不上世界潮流就是这个火候怎么把握但是你也不用上赶着教人做事吧有点过分就这个火候就像沙老师说的非常非常难把握就是
[00:46:48] 翻车是大概率事件就是这个其实也是怎么说呢我感觉这么这几年来这种传统的大众的消费品牌常见的一个危机就是你过去习惯的那套思维方式和价值观放在现在都会被人家批评嘛就你像比如说那个麦当劳你会被抗击不健康不健康可口可乐也不健康对吧
[00:47:09] 反正就巴菲特这些公司好像都不太健康然后比如说服装品牌然后现在人家会说你是一个血害工厂或者是有很大的环保问题啊等等的就是你这些品牌都有一些新的这个问题你要刷新这个品牌的形象但是你这个想要迎合这种新的趋势走出一条新路来呢又难度非常非常的大
[00:47:29] 原来说就是你原来是要把自己跟当时社会的主流的一个生活方式做一个绑定或者说你要能够尝试创造一个主流的生活方式但现在的问题就是恰恰没有所谓的主流生活方式这件事情所有的生活方式都不太主流对就是你作为一个大众的品牌你肯定会piss off一部分你的用户这种感觉然后所有的用户都能平等的发声所以事情跟原来是完全不一样那我觉得其实这个就是对于吉列这样的一个品牌怎么说呢今后一个长期的一个考验吧
[00:47:59] 我个人是觉得它还是有很多的资源可以利用的比如说你现在体育营销这个事情你还是可以继续做
[00:48:26] 更多的呢其实我觉得还有就是剃须这件事情本身其实还是有很多就是值得发掘或者说是有价值的一些正面的一些文化的价值嘛而且就像我们节目开头说到的他现在有一定这种传统的这个剃须的一些复兴然后他也是逐渐成为了一种什么新的爱好吧有点像这种黑胶创编那种感觉这种资源其实也是都可以发掘的那这个部分呢就是我跟沙老师会在边角牢那期节目里边更多的来讨论一下
[00:48:52] 那你们那期节目就放在你们这里了我们这期节目就到这里差不多了吉利它虽然作为一个百年的老店它很成功地活到了现在但是对于所有长青的品牌或者说想要成为长青品牌的公司如何避免衰老总归是一个长期的课题商业也就是这样
[00:49:15] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
