Vol.191 2024年度话题公司：胖东来
[00:39:02] 这个部门一线的员工的平均工资十发到手在6400块左右就到员工手上的是6400是扣了五险一金是吗应该可以这么理解它有一个十发和阴发十发是6400块钱左右这个当中就是一个平均工资然后高的是五位数超过一万的就是一线员工超市然后就是到了稍微有点管理职能的这部分就是你比如说主管某一个具体业务你比如说
[00:39:27] 烘焙客或者蔬菜客这样一个具体业务部门的客长差不多是一万三左右然后单店的店长能够拿到三万五平均工资余总确实是大爱啊到手三万五其实是在商超环境非常高了在许昌尤其对还有许昌这个店是当时我们聊挂的一个司机跟我们讲的原话是潘东来的工资比本地公务员要高多了员工确实能够开开心心上班但是啊转折回来你如果是在一线城市一个超市的老板
[00:39:56] 要达到同等的给员工提供这个薪酬水平老板真的很难做所以这部分如果做个总结的话胖东来在许昌的零售市场拥有相当的统治力他是花了很多年来培育品牌的
[00:40:09] 现在基本上是实现了口碑销售服务
[00:40:35] 城市的范围里面那走出去上呢很多基础条件都要难以复刻因为它的执行成本就太高了那对于一些有财务压力的上市公司来说呢尤其如此Pano还是个榜样但是未必是一个模板
[00:40:49] OK那刚才我们是通过胖东来帮别的超市调改的这个策略入手然后看了一下胖东来这个公司他的经营的情况到底是什么样子的他到底值不值得学那相信大家自己会有个判断那接下来呢我们就进入最后一个部分来看一下他最新也是最有名的一个学徒就是永辉他学习胖东来到底会有一个怎样的学习效果我们其实可以先看一下叶国富对这个问题的答案他其实是
[00:41:16] 肯定的那肯定肯定对他特别是先去了许昌看了胖东来以后才认真思考要不要买永辉这件事情的
[00:41:24] 他的电话会上面原话是我在想这个店如果是我的该有多好我前面说的是不是没错就是做零售的人你真的去看了都得羡慕流口水但是叶国富这么大的一个决策显然也不可能仅仅是因为他眼红旁东来就在那个电话会上面名创优品的母公司俊才国际的CFO也非常详细的解释了一下名创优品为什么下这个单他的原因和思考是什么那放在这里其实对于我们理解当下的永辉还是很有帮助的
[00:41:52] 首先一个特别直接原因就是它很便宜永辉很便宜那这个交易预计是在2025年的上半年完成的这个交易的对价是62.7亿元这个收购价呢分别是京东和腾讯在2015年和2017年入股永辉超市时的一半和四分之一如果是看单股的价格其次呢就是
[00:42:16] 他肯定认为这个就拉低了公司的ROE嘛
[00:42:34] 另外叶国富也认为永辉在疫情前面其实已经持续的盈利多年了那么最近这三年的亏损它的原因还是很复杂很多元的而且目前关店和调侃都在进行当中他觉得永辉本身的现金流也还是很可观的所以他预期未来会有拐点他觉得自己是在低点买入然后可以迎来一个往上走的一个过程
[00:42:57] 还有最后一个点就是明创优品出于自己的那个业务自身的战略考虑吧这个相对比较虚一点但是他的意思是说明创优品他自己做的是一些可选品还有往全球化的这样一个方向那么永辉呢他是必选品然后又做的是中国本土的市场那这两者相结合呢能够应对一些不确定性就是所谓的这个穿越经济周期啊来对冲一些风险啊等等的
[00:43:19] 所以说简单说明创优品买永辉这件事情的前提还是他有钱且想买不过我们今天先暂且略过明创优品吧我们还是聚焦永辉永辉过去三年的亏损究竟是个什么状态呢从财报看呢他是从2021年开始出现亏损的而且当年是营收和净利出现双降然后过去三年里面永辉的门店也是进增为负的那最大的一波关店是在2024年
[00:43:47] 也就是2024年的10月底它的门店总是从1000家降到了800家出头相比2023年底减少了将近20%那这个关键力度肯定会比较明显的影响这个财年的营收不过到时候这个利润是不是能够转正我们还是要看一下但2023年它整个的亏损是13亿元同比已经是扭亏了就相比于22年已经是扭亏了50%了
[00:44:10] 说明前两年确实Q的也比较狠永辉其实是中国超市里面做生鲜业态的开创者他2010年在A股上市他的标签就是生鲜第一股直到2019年生鲜在永辉的销售额当中占比都保持在45%左右而且他的自营占比能够做到超过9成他的供应力能力可以说是相当强的看到西南证券在2018年有一份研报显示生鲜行业里面的损耗率这个比例一般是
[00:44:39] 20%到30%但是永辉很厉害他能做到只有3%到4%其实在很多年里边永辉都是别人学习的一个剑下灵兽的一个榜样不过他自己确实是更加好学就在过去的近十年就在新灵兽的一轮的冲击下面其实永辉是做了非常多尝试可以说是一路学一路追随
[00:45:03] 出现了亏损这跟他现在的这个近几年的亏损我觉得也是紧密相关的我们这边就不具体的展开了就稍微梳理一下这个时间线你像2015年所谓的这个前置仓这个生鲜店商兴起的时候呢永辉就做了一个叫永辉生活的社区的便利点然后开始做这个到家的业务就是我们之前讲过的生鲜店商那到了2017年的永辉就开始对标河马然后做这个高端的大店就是所谓的那个超级物种
[00:45:27] 那在2018年还定过就是超级物种要开100家门店的计划但是最多的时候呢它其实就开到80多家在2018年呢就是全国开始有了很多这个社区团购的创业公司嘛那永辉也很快的推出了这个应对的电型叫永辉mini那但是呢这个永辉mini这个电型到了2020年的时候就基本上大部分都关店吧就到了当年就基本上关了绝大多数了
[00:45:50] 像我们刚刚讲到的超级物种包括永辉生活社区便利店这些现在都已经从永辉的门店的名录里面已经消失了前面我们把永辉的历程大概讲一下其实还是为了想解释一下他为什么会去找胖东来这次他是怎么找到胖东来的
[00:46:06] 我觉得他到底为什么要找胖东来真的要问这原因我感觉只能问张宣松本人了是吧夜深人静的时候问问自己对吧但是我们作为媒体我们从外部如果找原因就是有一个线索算是一个资本的线索吧就是我们前面不是提到
[00:46:23] 康东来在2023年调改了一个长沙的超市叫步步高步步高这个超市它背后的投资公司呢是另外一家公司的股东这家公司是一个新三板的挂牌公司叫做义和网络信息就是步步高是义和网络的一个股东那但是义和网络呢它的实控人就出来了是联商网的庞小伟所以庞小伟的一个资本的朋友是
[00:46:50] 步步高的老板我觉得这也许能部分解释为什么步步高会成为胖东来的一个调改对象那跟永辉什么关系呢那看第二步那步步高呢他同时还是深圳一家叫做聚灵成泽创业投资公司的股东而后面这家公司就是深圳这家公司他还有另外一个股东叫做谢湘镇是一个单人股东这个人是永辉张轩松张轩宁两兄弟的妹夫
[00:47:17] 这个人曾经也是持有永辉股份
[00:47:47] 反正这一次永辉我觉得还学的挺认真的再加上毕竟后面就是他五月份宣布接受那个引入庞东来然后到九月份那个明川和平收购他的时候这个大股东也很认可庞东来对吧所以他就算是有很多的动力要来做这件事情截至目前他已经有将近30个店去参与这个调改了
[00:48:06] 但即便30个店其实在永辉的盘子里面也不多刚刚我们说永辉大关店关到了800家对吧30除以800812家在2024年10月底的时候所以这个调改的话我觉得目前来说只能算是一个试点
[00:48:20] 对很小当然如果你仅看这个短期的试点的成果结果还蛮好的难怪叶国富会喜欢比如北京石井山区的喜隆多购物中心永辉店完成调改后的首日支付客流超过1.4万人次然后单日的销售额也达到了170万元这个是他调改前日均销售额的6倍这调改前是有多差170除以6其实也还好
[00:48:48] 20 30万不到对吧还好我这个会受到比如说他要关店的这种影响是是是对然后方正证券发布了一份关于永辉超市的报告一个这个研报里面称目前永辉超市郑州帮扶店他在郑州帮扶了店其实是胖东来帮扶永辉的第一家店就是郑州店在这家店当中胖东来的商品的销售额的占比已经达到了
[00:49:14] 30%到40%对于这家店来说它调改的介入的程度是很深的然后从某些店的
[00:49:21] 初期的营业效果来说反应也是很好的可以这么来总结是从公开报道看永辉对胖东来这个流量那真的也是全面拥抱他在很多的店的调改的声明里面都直接声称自己的这个商品结构达到胖东来的90%可能胖东来像个进度表一样对有点说我就是成都的胖东来我就是北京的胖东来我是郑州的胖东来就是没有胖东来的人你们去不了胖东来又想买胖东来你就来我这吧有点这种意思
[00:49:47] 但是长期看我觉得这个效果你还是要再观察观察比如说他这个调改的首店就是五月份宣布的这家郑州店后面就是有一个商业媒体叫红星资本局他在十月份的时候做了一次追踪的报道
[00:50:03] 他的报道是永辉超市这家店重新开业四个月之后客流量已经明显减少不过有一个好处就是胖东来这些自由品牌倒是借助调改走出去一趟走向全国了我觉得这个招还是有点用但这个是胖东来的好处问题是我们前面讨论的是胖东来对于永辉到底能够产生怎么样的一个长期的影响留给永辉的具体问题还是有蛮多的你比如说胖东来的一个调改的措施之一就是要求
[00:50:31] 传统的超市要去掉非自产商品的这个后台费用包括条码费上架费进场费等等对吧这个确实是传统超市营收的一部分来源永辉的财报显示呢在2023年他的这部分收入是49.32亿占到他总收入的6.3%这个占比不大但是要占到他整体毛利的28%这个就还是一定数据了对吧所以你要他马上一笔勾销这块收入我感觉也不可能
[00:50:59] 再有就是胖东来强调的这个高薪的这个政策永辉在2023年他的所有门店的销售人员加起来一共是接近9.3万人非常多了如果按照北京石井山喜隆多店他的这个做法就是给员工每个人每个月涨薪2000块的话那就等于是假如你要覆盖到全部的9.3万销售人员相当于永辉每个月的员工成本要增加超过2亿元
[00:51:26] 等于就是说如果永辉全面的照搬胖东来长期来看可能还是更利好胖东来自己就是至少利好胖东来这个部分是很明确的那永辉到底能不能学到胖东来的所有的话就要打个问号有待观察对吧对而且就是说你胖东来这个热度下去以后他这个自由品牌也未必一直就能大卖吧因为在一线城市网红单品竞争本来也是很激烈的
[00:51:50] 那到这里呢我们就基本上把2024年的年度话题公司胖多来聊完了最后要再打两个补丁啊第一就是永辉和胖多来的合作才刚刚开始并且才30来家店的这个很多事情还很模糊还需要后续的关注那在这个阶段硬要套上一些宏大的解释和预测呢这个时机显然是没有到
[00:52:12] 第二呢大家也可能注意到了虽然我们今天花了很多篇幅来聊胖东来如何成为一个话题但是对于那些社交网络上最火热的话题尤其是于东来本人的言行我们涉及的并不是很多因为过多讨论这些事情呢就会偏移焦点中国每个地区其实都会有很强势的区域性本地的零售品牌而河南许昌的胖东来能在2024年成为全民关注的焦点这背后当然有社会情绪的助推
[00:52:40] 但至少在这期节目里面我们希望洗掉情绪的泡泡关注商业本身是什么样商业就是这样
