Vol.252 张雪为什么能赢？
[00:36:02] 那讲完这一部分呢其实也解答了我们开头的疑问就是为什么张学基车能够这么快从零起步去快速的崛起实际上呢它不完全是从零起步它的土壤是整个重庆坚实的摩托车的产业链基础然后它乘上了整个行业去做高端化转型的一个小的东风
[00:36:22] 而他自己对于这个行业以及对于摩托车这个产品的理解很深刻他的经营策略呢看似很潮忙其实很精明整个这些东西呢就为张雪机车快速聚集了很多的资源最后让他一飞冲天
[00:36:36] 到这里我们从商业视角对于张雪居车的目前的传奇的故事的回顾就差不多了最后我们想简单的聊一个话题就是它这次获得很高热度这件事情本身首先这个原因我觉得大家都能够感知得到这个故事本身很打动人这是一个很好的故事但同时我不可否认这一次的夺冠其实也叠加了最容易刺激情绪的一个点就是所谓的民族产业崛起的这样一个叙事
[00:37:03] 毫无疑问张雪机车的成功肯定是中国摩托车产业发展一个极大成的结果就像我们在家电消费电子等等领域那样就是都有过这样的结果那从跟随占领市场再到技术和产业的全面领先但是我觉得在宏大叙事里面还是应该多强调一些张雪个人奋斗的部分就怎么说呢水到渠成不等于顺利成章产业的土壤摆在那边也不等于一定能够长出一个张雪机车
[00:37:30] 就像产业的基础在那但是如果没有乔布斯的话其实你并不会有苹果一样的道理不会有特斯拉一样的道理有的时候就是需要一个极端自信然后极端执着的人去冲破常规才能建立一个新的传统
[00:37:43] 另外还有一个感觉就是这个产业兴起的这个狂欢和整个国内市场依旧受限的这个状态之间呢其实是很割裂的有种错位吧对就很多人现在为张雪汽车感到高兴但是呢就是高兴归高兴你路上被一辆摩托车喷了你还是很讨厌这个群体其实说实在就是在这个兴趣爱好的背后呢摩托车确实有它的需求只不过这个需求要怎么去转化成一个实际市场其实没有人去解答这个问题
[00:38:12] 这个就回到前面你提到进模的话题包括两轮电动车的话题郑月老师所说的其实摩托车被进了之后并不是兴起了汽车汽车无论如何都会兴起的真的被带起来的是电瓶车两轮的电动车而我们看到其实很多人其实是不惜违规的来改装电动车让它获得像过去摩托车一样的速度和动力现在大家对于电机的这样一个观感其实跟过去摩托车没什么本质的区别
[00:38:40] 这个事情怎么看呢其实它反而很有力的说明了摩托车它这样一个尺寸然后它这样一个速度在某一定的距离或者是这个空间里面它作为一个交通工具是有个刚需在的对吧这个刚需是必须存在的就是实际上就是几公里或者是十几公里以内的这样一个路程你不一定需要汽车然后你骑个自行车也不是很方便的情况下其实摩托车在这个当中就是有它存在的必要性的但它确实有很多的负面的影响观感确实有些情况很不好
[00:39:09] 但这些负面的影响比如说治安安全污染其实是你用相应的法规来约束的比如他超速你应该来限制他的速度对吧他不安全你应该来限制他的这个驾驶的这个资质更加严格的来管控这是一个相对比较就是对症治疗的一个方式只不过现在我们还是选择一种比较简单的所谓一刀切的一个监管方式
[00:39:30] 当然我们现在也看到了一些这个扭转的势头啊逐步的有一些城市还慢慢的会放松摩托车的一些管制的措施尤其是被大家诟病很多的这个13年强制报废的这样一个措施现在开始慢慢松口了那我们有可能可以看到一个中国国内市场的这样一个慢慢的复苏之所以为什么最后会讲这个话题呢是因为我们认为兴趣啊或者是爱好者这样一个产品的属性它其实应该建立在更广泛的刚性的需求之上
[00:39:58] 它是一个从大到小的提取的过程
[00:40:02] 只有这样的一个基础存在那么爱好者的群体它才会变成有源之水就源源不断的会有新的爱好者出现它才能保持一个生命力同时有了广泛的需求就是对这个刚需能够正视也能够使得大众对于这个摩托车这样一个兴趣爱好会相对的尊重理解或者知道怎么来面对了大家可以有一个更加好的一个规范然后摩托车的这个群体自己对自己也会更加好的一个要求而只有当用户的需求不断增长的时候张雪机车和他的同行们所做的这种
[00:40:30] 高端大排量摩托车的视野才会有更长久的前进商业就是这样
