Vol.72 蔚来坚持的换电，到底是不是个问题？
[00:35:03] 但anyway为什么说算总账啊就是要算的是这些成本投入进去了它服务了多少保有量的车也就是说平摊到每辆车上我花了多少钱然后这个呢最终会体现在净利润上面也就是说只要你未来车卖的足够多然后把这些换电站效率提升到多高的话这个成本就不是那么显眼它就是真的是一个服务的一个支出它不是那么重要对就有点像你在车上加了一个配置那种感觉嘛
[00:35:30] 像目前蔚来是1000个换电站然后它整个车的保有量是20万多一些根据蔚来的规划它2025年在中国国内是要有3000个左右的换电站是现在的三倍那么问题其实是到了那个时候蔚来的整车的保有量能不能比如说超过100万辆也就是现在的5倍甚至更多呢
[00:35:50] 那到时候未来的单车的均价是不是能够维持在现在就是40多万元这个水比较高的水平上面呢这个其实才是我们接下来要关注一个主要的问题所以说考察换电这个体系的核心还是要看它整个的家电服务这个体验是不是能够好到成为一个所谓的加分项来吸引到消费者买车对吧对就有点像KPI和OKR的这个区别对吧就你不要单算它这个体系的那个盈亏的这个KPI你应该算它整个能够达到这样一个促销这个目的
[00:36:17] 对吧或者是品牌这个溢价的这个目的才是比较关键的当然啊在各个发布会的场合里面你都能听到说未来的高管会安利说我们也很愿意开放换电站啊我们也希望可以服务更多的品牌啊但实际上现实是和Best Place一样就你跨品牌的这个换电是很难达成的别人不一定会愿意来跟你使用同样规格的电池包嘛不过未来接下来还会推出一个更加便宜的子品牌根据他的说法呢是这个品牌在研发生产的时候肯定会保留
[00:36:46] 共用未来换电站的这个可能性但是不能确定那如果真的是共用的话那你可以想象有可能车这个换电站能够服务的这个车的规模就会更上一个台阶然后他这个每个换电站的这个使用率会更高那他有可能在整个的这个总账上面会就更加合算一些
[00:37:04] 虽然我们前面就在强调说跨公司的换电很难铺开很难铺开但其实也不是没有公司在尝试这件事情因为相比于当年Better Place那个时代就现在整个电动车的产业结构已经是好了太多了消费者的接受的水平也高了很多所以除了未来以外也确实能看到很多公司在尝试换电的业务还有什么别的例子吗举两个例子第一个公司叫奥动新能源它就是在尝试做Better Place的事情
[00:37:32] 他们会和像北汽这样的品牌来合作研发一款车然后呢为他们的车提供换电的服务和电池但是他的野心没有那么大就不想做整个的私家车的市场他主要是来做出租车这样的营运车辆的这个生意这个感觉一下子就合理了对直观就可以感觉得到嘛因为营运车辆呢它一个成本比较低所以说他对于那些很复杂的研发什么的要求没有那么高
[00:37:55] 然后出租车司机呢他对于这个换电的时间要求应该是特别严格的对吧价格也很敏感价格也很敏感所以呢奥动的他这个技术他的核心呢就是说他能够换电非常快因为他采用的是搭扣型的这样一个固定的这样一个一个技术规格所以他有可能一分钟之内就能把这个电池换完像我现在看到的数字是截止2021年7月奥动现在也有300多个换电站了而且他已经和30多个这个汽车品牌
[00:38:21] 合作来研发用统一的电池包的营运车辆的车型还有没有别的例子呢第二个例子的话就是大家更加熟悉的公司就是宁德时代他在今年是公布了自己的一个换电站的业务叫Evergo这样一个名字而且还推出了一个专门为换电站来配套的一个电池包名叫巧克力电池
[00:38:44] 感觉宁德时代做这个事情是有先天优势的因为它本来就是全世界可能最大的汽车电池供应商之一如果有谁能够定制一个所谓电池包的规格然后包括了解到各个厂家对于电池包的想法的话可能宁德时代是最有优势的没错宁德时代换电站的核心就是刚才讲到巧克力电池其实就是说它有一个尺寸规格然后电容量都标准化的一块电池板就是那种一板一板的巧克力
[00:39:13] 然后每一板呢就是200公里的这样一个续航的里程然后它们可以拼接在一起那么车主就可以选择我这次换电是换上一块巧克力板还是两块巧克力板来对应是一个中短途的还是长途的一个运行这是一个自助方案了对这个想法还是蛮有趣的就是等于是这个换电站的这个提供的服务更加灵活了嘛但具体实行起来还是那个问题就是能不能有实际的合作落地虽然宁德时代在整个产业链上的这个位置非常的重要
[00:39:41] 但是你要说它这么深入的介入一些车厂的前期的研发然后等于是它占一个主导的位置的话能不能推行下去能在多大的程度上推行下去现在来看还是不明确的我们现在看到的可能性比较多的还是有点类似于像奥动一样的就是和一些影音的车辆的需求来合作是更加能够可行的所以说所谓B2C的钱不好赚还是B2B比较有钱
[00:40:04] 对或者比特币更加能够落地下去那么问题就来了就是这些公司看上去又开始把换电当做一个单独的业务来运营
[00:40:13] 成立一个专门的公司做专门的业务而不是像未来一样把它作为一个服务的感觉这个事情商业模式上能成立吗所有做换电的公司如果被问的话他都会跟你说我们做的不单单是一个汽车的服务而是一个能源产业换电站里面因为长期会有很多的电池而这个是连着电网的所以天然就是一个储能的设备理论上这个储能设备是有很多商业上的想象空间的
[00:40:40] 比如说它可以智能的在拨风放电拨鼓充电来转这个电乍的差而且也可以和周边的一些基础设施联系在一起作为一个能源的来源大家有兴趣的话也可以了解一下现在美国欧洲这些大市场的储能业务其实发展非常快的很多小公司甚至是个人都会去买那种储能产品其实就是一块大电池然后试图去国家那里赚点钱对而且有些应急的功能吧
[00:41:06] 我们开头的时候其实提到过一句就是电池的回收或者说是梯度利用的这个问题就当它衰减了之后它虽然不能在车上来使用了达不到这个车上的标准了但它还是可以去发挥余热嘛就为别的设施来提供能源甚至做充电宝什么的真的可以那这个呢就是一个很大的一个产业然后也是最近这几年大家非常关注的这个有机会的话我们再展开讲到这里呢我们就简单的总结一下今天我们虽然就是这换电这件事情尤其是未来的这个换电讲了非常多的背后的逻辑啊细节啊什么的
[00:41:35] 但是我们并不想要有一个明确的判断就是这件事情好或者不好或者肯定能行肯定不能行我没有这样的判断我们想要说的是在观察电动车这样一个比较新兴的产业的时候大家经常会容易被一些表面的新的理念新的模式来吸引就像换电这样的然后就会很快的有个判断就是我支持它或者去排斥它但是我们是想在做这样的判断之前最后还是先要了解一下它背后到底有怎样的一个体系以及把它落地是要面对哪些具体的挑战
[00:42:03] 因为水面下的这个冰山啊总会是更大而且更有趣一点的商业就是这样
[00:42:13] 感谢收听这一期的商业就是这样你可以在苹果播客小宇宙喜马拉雅网易云音乐QQ音乐荔枝等平台收听我们的节目微信公众号第一财经emagazine也会推送每期节目的内容如果喜欢我们欢迎你在苹果播客给我们五星好评并期待你在各个平台与我们交流尤其欢迎分享你感兴趣的话题下期见
