Vol.242 商业航天靠什么赚钱？
[00:34:25] 就我们看到26年就已经有很多这个商业航天的发射计划就还是蛮活跃的你像什么东方空间这个公司它有引力一号还有深蓝航天啊星河动力啊中科宇航啊天兵科技中国现在真的有很多这种商业航天的公司他们都有这个火箭的发射的计划所以接下来26年的话其实还是蛮多看点的
[00:34:48] 今天我们关注的还是SpaceX以及它带起来整个商业航天市场怎么去赚钱的一个问题当然我觉得在航天这件事情上怎么花钱把钱花到什么地方其实感觉是跟赚钱同样重要的事情因为我们今天讲到这里可能会让大家有一个感觉就是这些忙着发售火箭的公司弄了半天好像就是为了在地球外面就是为满卫星赚的还是一些地球上的钱
[00:35:14] 过去我们说航天都是为了去更远的地方去月球去火星包括马斯克自己的目标也不是去火星然后去做什么升空探测器就没有人在搞这些事情了火箭虽然可以方便的离开地球表面但还是绕着地球转的像个风筝一样的我觉得你提这个问题非常的重要我们看到其实有的创业公司还是会有一些更加深远的目标的
[00:35:36] 一个像马斯克你刚才说的就是SpaceX实际上就是一个以去火星为目标的一家公司阶段性的先把地球的这个卫星资源搞一搞对他会这么说就是星舰肯定是可以用来发更多的这个星电的这个卫星没问题但他星舰的终极的目标是运那种很重的东西去火星这是他的一个终极的目标而像中国的创业公司其实也会有这样的目标就我看到我们的同事报道里面有个很有意思的细节就是这个蓝舰
[00:35:59] 这个创业公司他在选择自己的这样一个燃料料方案的时候他选择了甲烷这个方案甲烷就是火星上最多的东西对最多一个东西然后这个方案其实对于这个重复利润是很有好处的但是原本这个技术有可能不是那么普遍和充分利用他选择这样一个方案的核心的原因除了就是他可以重复利用以外他还说了一句话他说我们了解到就是火星上面被认为有可能可以合成甲烷他意思就是以为来拿火星当他的加油站他反正就是说我有这样一个远大的图景
[00:36:27] 我觉得这个有可能是一个航天的创业公司应该有的一个目标或者说是眼见吧包括我们看到中国现在还会研发一些所谓的重型火箭比如说长征9号不是会做一些发射吗它这个发射的价格还是很贵很贵的为什么还要做这种东西呢实际上就是为了把一些更重的或者更大规模的一些东西发射到更远的地方去这个实际上就是为了真正的去探索地球以外的事情而不是绕着地球转
[00:36:53] 我觉得这件事情对于人类来说想象空间肯定比就是两三万亿的一个既定的通信市场要大很多很多只不过就是因为它太大了而且就是很远就一直以来大家对于它很难有一个清晰的图景也很难对它有个清晰的估算我觉得这里面有个担忧实际上就是刚才袁老师讲到的就是虽然你认为阶段性的好像是绕了地球转是一个初步的阶段以后还是要去新城大海的但是你这个现在的阶段有可能会产生影响就是有可能会忘记去
[00:37:21] 仰望天空是的其实刘慈欣发表过类似的观点客观上来说如果过于密集的低轨道的卫星的分布就是会阻碍乃至威胁人类的一些更加远的太空的探索的有两个主要的担忧一个就是我们刚才讲的凯瑟勒综合症那是很大的一个问题一次意外就可能使得整个轨道不能用了
[00:37:40] 还有第二个就是有很多天文学家已经认为过于密的这个通讯卫星它实际上会干扰天文的观测好像这已经不是什么担忧就是确实事实上面就已经开始会干扰了感觉这个事情就已经变得很讽刺就是你是一个为了太空探索而建立一套思路然后最后影响了太空探索是的我觉得这很囚徒困境对吧你从整体利益上来说规避这种情况的话你应该有个全人类的这种规划就是从上至下的一个规划
[00:38:08] 大家怎么来利用这些轨道的空间
[00:38:36] 我觉得这可能就是技术创新领域经常要面对的一个困境吧就是商业能够让技术的创想变为现实但也会在某个节点来限制创新的潜力而要突破这种限制呢需要的可能就是人类的想象力商业就是这样
