Vol.248 2026中国车市四大猜想
[00:36:15] 这个竞争也必然会延续到2026年首先我要说的就是市场上有很多媒体标题会比较耸动就比如说比亚迪要被吉利超过了然后这个26年这个比亚迪不行了等等的但是其实你仔细看一下的话会发现比亚迪的销量增速放缓还是有很明确的一些就具体的原因可以分析有迹可循的比如说呢比如说价格就是过去几年比亚迪有个强势的很重要的原因就是首先它产品力很强大家都很认可然后卖的很好
[00:36:43] 卖了好了之后呢它的利润空间就会相对比较大在这种大的比较大的情况下呢它就会把这个利润的一部分返还到价格上面把这个价格降下来然后它获得更大的竞争优势这是一个正向循环的一个东西对然后它就一直的往下压价格嘛尤其是在比如说15万元以下的主流的这个市场其实价格是非常非常重要就消费者对它很敏感的越便宜消费者对价格越敏感这也是为什么过去几年比亚迪要打这个价格战等等的
[00:37:10] 但是到了2025年的下半年其实这个价格占各种因素就逐步就暂停了熄火了比亚迪自然就不会有那么大的优势这是一点其次就是这一批车型其实也到了生命周期的后段了接下来其实26年比亚迪我们前面讲他要推新一轮的混动技术的架构那么有个换新的过程其实换新的切换期销量的下跌也是比较正常的一个情况
[00:37:34] 还有就是我们前面讲到像吉利啊等等的一些对手也确实很强势你像这个吉利新越大家如果听说过的话这个车小车大家过去一年卖的非常好都是销冠那基本上他们就是在各个细分的市场都有这个价格啊这个产品力比较接近的产品在激烈的竞争就很多时候你在一线的时候如果你去一些4S店啊等等去感受一下就是一两千块定胜负的是一个非常贴身肉搏的一个状态
[00:38:03] 那感觉这个竞争确实是比想象中更激烈一点是这个又跟我们开头提到的补贴政策相关的就其实像比亚迪和吉利这些在中低价格的电动车上面有很多很强势产品的品牌是过去两年在这个已旧换新上面拿了最多补贴的对 获益最多的其实很好算就是因为它过去不是不固定的那个补贴额度是一万五千吗那你如果你这个车价
[00:38:30] 越便宜你这个补贴的实际上的这个折扣折扣力度越大对但如果说按照你前面说有可能比如说有些地区换成按折扣比例那这个其实就是可能说实际最后打下来没有那么合算了所以这个退坡对他们都是有影响的所以大家会看2026年有可能会有些新的变化我觉得还有更关键一个点就是其实比亚迪的量已经够大了它其实增长的空间本身就不多了比亚迪已经年销量已经超过400万台了这是个什么
[00:38:57] 规模呢这么说吧就中国车企的单年度的销量记录是上汽的在2017年那个时候是不到700万台690多万台但那个时候是因为上汽我们知道它下面有几个合资公司它把那些销量都并到它的表上面来算就是如果看单品牌可能没有700万这么多没有这么多我们这么来算比如说我按大众集团来算大众集团下面的就是一汽大众上汽大众包括奥迪我都算进去包括进口车算进去它在中国的销量巅峰也就是400多万台
[00:39:25] 那就相当于比亚的已经现在实现了单品牌在中国的巅峰销量的水平差不多就这个意思了但如果你这么来看的话其实他的这个市场你看到底了他肯定有预测我不可能在中国卖到500万600万甚至更多把别人的市场份额全都吃掉他不是特斯拉是这样特斯拉现在也做不到这一点我不可能一直降价把别人的生意都抢光的这有个边际在的
[00:39:50] 所以我觉得到了一个时间点此消彼长是一个必然的状态我觉得如果从这个角度来看其实需要观察的就不单单是销量这个数字而说比如说它整个经营状况有没有变化假设说销量下滑的情况下这个公司的利润是不是依然能够保持甚至更强
[00:40:06] 或者它的成本控制是不是能够继续维持下去就整个公司的层面能看到一些变化是的所以我在2026年其实会比较关注比亚迪的比如说单车的平均售价在2025年的话大家可以看到绝大多数的品牌它的已有车型的价格都是往下的只不过有的品牌它推出一些高价的车型使得整个品牌的单车的平均售价会提升点
[00:40:29] 那像比亚迪啊这种就是车型你很完备的这个品牌其实都会有这个价格上的这个压力那么在这个新的技术架构上来之后会不会这个新的产品这个方面有随所反弹呢等等的我们觉得这个其实是比单纯的销量数字更关键的一些点
[00:40:47] 那讲到这里我们关于2026年中国车市的四大猜想猜想就聊到这里我们开头说这四个猜想的前提是整个市场的收缩这本质上也是企业面对市场压力时候一个自然的反应其实都是车企在求生存找出路但是我觉得还是要提醒一下这四个猜想基于一个非常更根本的前提就是仅限中国如果说我们讨论的
[00:41:12] 竞争都只限于中国范畴内其实就是确实越聊越焦虑道理很简单因为不管你技术怎么革新单一市场的汽车消费需求还是由宏观决定是更多的汽车消费力量跟宏观环境是密切相关的是的这也是为什么现在这段时间大家汽车市场要倡导反内卷你确实有点内卷的意思你卷出花来了低价等等怎么样的你也突破不了整个行业的天花板
[00:41:38] 这个总量是这样的但这个就会导致一个问题就是因为中国这几年新能源车的技术和产业进步最重要的就是价值兑现点其实都是在全球范围上面的对就是只有当中国的车企把新能源和智能上面这种领先优势真正付之到更多的市场让这个技术产生更大的一个规模效应才能在本质上突破这个内部的生存困局是的那就是
[00:42:01] 但是要实现这个目标呢就是所需要又不是简单的出口就可能是一些更深的一些海外的投入比如说在当地建工厂啊建团队供应链销售渠道等等的这就是一个新的话题了我们节目此前其实专门讲过汽车出海吧但那个时候讲出海其实主要讲的是出口就是你在中国造了车之后卖到别的地方去现在中国已经是全球第一大的这个汽车的出口国了但是其实中国还没有就是本土还没有真正的汽车的跨国公司
[00:42:30] 就像丰田那样在海外广泛的建立生产基地销售的组织整个公司的运营的组织然后在每个当地都有一个非常稳定的市场份额这件事情其实还没有做到我觉得这个有可能是我们真正期待2026年中国的汽车行业会有变化的地方就是能有真正意义上的跨国公司而不是单单的出海
[00:42:51] 也就是说你在当地的海外当地做生意的话你是真的在那边扎根你是真的能够扶植培育起当地的产业链大家共同的分享利益而且能够带动当地的就业然后能够得到当地的所在地的长期的支持认可
[00:43:07] 这样我觉得算是一个跨国公司所以说大家总体来说会认为这个更多跟比如说当地的政策或者地缘关系有一些影响对但我们觉得这可能也没有那么大的影响很多时候还是要靠就是微观的努力去把这个事情做成可能更重要像2026年可以看到比亚迪吉利奇瑞广汽都会有新的海外工厂投产这个事情我们可以长期关注
[00:43:30] 我们在第39期的时候其实讲过桑塔纳入华的故事当时中国这边期待的就是市场换技术市场换产业那么那个时候大众的确是做到这一点然后他也迎来了40多年的在中国的红利期现在其实轮到中国的企业学着如何在全球市场来赚慢钱赚长钱了商业就是这样
