Vol.253 西南航空，从特立独行到泯然众人
[00:35:08] 抛弃保值对的2025年初呢西南是终止了它运行20多年的这个燃油对冲项目成为美国最后一家放弃对冲的大型航空公司理由也很简单就是过去10年这块的效果它觉得是越来越差了而且操作成本越来越高而且我们不是忙着改革吗我们精力是不是就是移回到主页上面比较好这个决定在2025年初看起来是很合理的
[00:35:32] 因为油价那几年确实已经比较稳定了就是你没有必要一定要去做对冲但是大家也知道这个2026年这个今时不同往日美伊冲突就导致霍尔木兹海峡关闭了然后国际油价直接飙到了每桶100美元以上一个月之内涨了超过50%那航空燃油这个价格就是更夸张翻了一倍多
[00:35:53] 让我想到就是有一辆车你开了很久对吧之前每年都是买了很高额的商业保险然后你觉得我一直开的很平稳没有出事故然后觉得我就买个胶墙险就行了然后你就会就是偏偏这个时候他结束了对冲的这个对自己的保护是的西南原本就是在去年年底的预期是今年一季度公司的燃油成本应该是每家轮2.4美元
[00:36:19] 这个数字现在听起来就是跟现实已经完全脱节了而我们以前面说燃油本身就是航空公司最大的运营成本项之一我觉得这种情况下你这公司想要维持美股的收益是挣的都很难你想让它美股赚4美元这是痴人说梦过去它实际上是通过非常精细的运营它实际上那部分只是积累了很多的品牌的价值规模等等还是比较苦哈哈的但是燃油套气保证能给它赚到更多的利润现在它跟大家一样都不做这件事情了
[00:36:49] 但也是你跟我讲了我才知道就是美国的航空公司他大家都不做这件事情了大家都裸着了是吧对就是美国航司呢几天都是因为同样的理由放弃了燃油淘气保值就是因为燃油都很平稳他觉得没什么好做这件事情是的就是大家都裸着了但是穷人裸着和富人裸着可能还是有一点区别的这方面顺便我也看了一下国内的三大航空情况就是东航和南航就是最近是披露过是对于2026年是有淘气保值计划的春秋是没有的所以说QE这个春秋的业绩可能也受到
[00:37:18] 可以说它改革的核心就是让西南航空变成一个不再特立独行的但是赚钱的公司但是赚钱的公司
[00:37:38] 这个改革在第一年看上去还是非常行之有效的但是在第二年就遭遇了一个巨大的黑天鹅最后我们再简单说一下Eliot就是因为他可能是整个新南航空改革当中唯一的赢家2025年年底Eliot其实就开始披露在减持新南航空的股份了他的持有比例从最高峰的16%已经下降到9%此后也有两位Eliot任命的董事离开了这个公司的董事会他对整个公司的控制也在降低了
[00:38:05] 说一下吧他到底在这个案子当中赚了多少钱具体我没算但是可以说几个数字就是Elliott进入的时候呢西南的股价大概是28美元这个水平然后到了他最后一轮卖出就是2026年2月份卖出的时候呢这公司股价已经找到接近55美元当然我们可能知道那个就是他最好的时候了作为交易而言这次出手非常的成功但是对于公司而言这个Elliott走了以后到底留了个什么呢留了个烂摊子
[00:38:32] 其实Elliot推动的每项改革单看的话他都有理由都说得过去是吧就是一家IT基础设施欠了十几年债的然后核心客群正在流失的公司你肯定是要变的不然的话也不会有这么多的股东当时支持他能够让他这么强势的获得在公司里边的掌控的地位但如果所有这些变化叠加在一起是在一年多的时间里面推出的话还是有些太激进了对吧就有点过于的违背组织了是吧
[00:39:00] 更何况每一项改革都是指向过去这家公司商业特色的反面
[00:39:23] 我觉得坦白来说可能这两个方向都没什么问题就因为整个公司的管理层历经了太久的黄金时代以至于在大的变局当中没有做足准备而Aliot进入又让公司失去了按自己的节奏来做自我修复的机会我们在做春秋航空的期节目的时候说过一句话低成本航空的核心不是某一项具体的政策而是所有政策之间的自洽性
[00:39:47] 如果要改革的话更应该重视这一点而不是仅仅看到哪些部分可以拿来变现就去改动它在今天这个油价飙升的节点上面西南航空失去了它的文化独特性失去了它的金融保护工具也失去了54年来跟员工那份不成文的承诺它变成一家正常的航空公司但是对于一家曾经以不正常为核心竞争力的公司来说正常也许才是最大的风险
[00:40:11] 商业就是这样
